16-Nov-2018 10:09:09

Existing File opened read-only: 
  "D:\HEKA_DATA\1810292ho.dat". 

GROUP_1,    3

SERIES_1_1, "IVCC-I",  "", 29-Oct-2018, 16:02:56.906
EPC10/2-1, C-Clamp,  0.0000 ,  10.000m,  7.3014k,  6.8472p,  15.719p
    356,  -145.58p,  -676.25p,   530.67p,   10.000m,   18.844M
    357,  -143.35p,  -689.31p,   545.96p,   10.000m,   18.316M
    358,  -146.05p,  -678.31p,   532.27p,   10.000m,   18.788M
    359,  -142.91p,  -669.31p,   526.41p,   10.000m,   18.997M
    360,  -139.45p,  -686.69p,   547.24p,   10.000m,   18.273M
    361,  -138.58p,  -682.44p,   543.86p,   10.000m,   18.387M
    362,  -143.30p,  -670.03p,   526.73p,   10.000m,   18.985M
    363,  -137.97p,  -670.31p,   532.34p,   10.000m,   18.785M
    364,  -132.52p,  -668.91p,   536.39p,   10.000m,   18.643M
    365,  -133.01p,  -678.25p,   545.24p,   10.000m,   18.341M
    366,  -131.96p,  -672.09p,   540.13p,   10.000m,   18.514M
    367,  -132.13p,  -667.69p,   535.56p,   10.000m,   18.672M
    368,  -132.44p,  -672.59p,   540.15p,   10.000m,   18.513M
    369,  -130.33p,  -680.41p,   550.08p,   10.000m,   18.179M
    370,  -135.82p,  -665.66p,   529.83p,   10.000m,   18.874M
    371,  -131.42p,  -653.47p,   522.05p,   10.000m,   19.155M
    372,  -135.29p,  -654.87p,   519.58p,   10.000m,   19.246M
    373,  -129.74p,  -672.47p,   542.73p,   10.000m,   18.425M
    374,  -129.46p,  -676.66p,   547.20p,   10.000m,   18.275M
    375,  -130.03p,  -670.78p,   540.75p,   10.000m,   18.493M
    376,  -130.28p,  -669.22p,   538.94p,   10.000m,   18.555M
    377,  -128.87p,  -672.72p,   543.85p,   10.000m,   18.388M
    378,  -130.26p,  -662.97p,   532.71p,   10.000m,   18.772M
    379,  -126.10p,  -668.94p,   542.84p,   10.000m,   18.422M
    380,  -125.25p,  -650.53p,   525.28p,   10.000m,   19.037M
    381,  -125.32p,  -670.53p,   545.21p,   10.000m,   18.342M
    382,  -127.27p,  -654.69p,   527.42p,   10.000m,   18.960M
    383,  -125.73p,  -670.13p,   544.39p,   10.000m,   18.369M
    384,  -128.16p,  -672.91p,   544.75p,   10.000m,   18.357M
    385,  -125.47p,  -666.44p,   540.97p,   10.000m,   18.485M
    386,  -126.86p,  -670.16p,   543.29p,   10.000m,   18.406M
    387,  -125.86p,  -681.62p,   555.77p,   10.000m,   17.993M
    388,  -124.49p,  -667.37p,   542.88p,   10.000m,   18.420M
    389,  -128.70p,  -675.37p,   546.68p,   10.000m,   18.292M
    390,  -126.29p,  -665.44p,   539.15p,   10.000m,   18.548M
    391,  -125.79p,  -692.09p,   566.30p,   10.000m,   17.658M
    392,  -130.21p,  -678.38p,   548.16p,   10.000m,   18.243M
    393,  -126.43p,  -661.59p,   535.17p,   10.000m,   18.686M
    394,  -124.10p,  -659.66p,   535.55p,   10.000m,   18.672M
    395,  -125.96p,  -661.47p,   535.51p,   10.000m,   18.674M
    396,  -128.81p,  -665.84p,   537.04p,   10.000m,   18.621M
    397,  -124.34p,  -675.06p,   550.72p,   10.000m,   18.158M
    398,  -126.08p,  -678.25p,   552.17p,   10.000m,   18.110M
    399,  -122.24p,  -678.31p,   556.07p,   10.000m,   17.983M
    400,  -124.86p,  -679.84p,   554.99p,   10.000m,   18.018M
    401,  -126.40p,  -666.16p,   539.75p,   10.000m,   18.527M
    402,  -132.75p,  -673.88p,   541.13p,   10.000m,   18.480M
    403,  -127.02p,  -686.09p,   559.07p,   10.000m,   17.887M
    404,  -127.53p,  -680.34p,   552.81p,   10.000m,   18.089M
    405,  -127.78p,  -682.94p,   555.16p,   10.000m,   18.013M
    406,  -128.02p,  -695.25p,   567.23p,   10.000m,   17.629M
    407,  -131.20p,  -680.44p,   549.24p,   10.000m,   18.207M
    408,  -127.89p,  -679.16p,   551.27p,   10.000m,   18.140M
    409,  -127.79p,  -684.16p,   556.36p,   10.000m,   17.974M
    410,  -126.71p,  -688.50p,   561.79p,   10.000m,   17.800M
    411,  -127.22p,  -692.06p,   564.85p,   10.000m,   17.704M
    412,  -127.36p,  -676.47p,   549.11p,   10.000m,   18.211M
    413,  -124.80p,  -694.22p,   569.42p,   10.000m,   17.562M
    414,  -124.55p,  -679.56p,   555.01p,   10.000m,   18.018M
    415,  -128.02p,  -683.19p,   555.16p,   10.000m,   18.013M
    416,  -127.32p,  -689.63p,   562.30p,   10.000m,   17.784M
    417,  -128.04p,  -725.44p,   597.39p,   10.000m,   16.739M
    418,  -127.31p,  -681.72p,   554.41p,   10.000m,   18.037M
    419,  -127.78p,  -674.28p,   546.50p,   10.000m,   18.298M
    420,  -126.86p,  -676.34p,   549.48p,   10.000m,   18.199M
    421,  -125.37p,  -685.53p,   560.16p,   10.000m,   17.852M
    422,  -136.85p,  -685.75p,   548.90p,   10.000m,   18.218M
    423,  -130.29p,  -679.31p,   549.02p,   10.000m,   18.214M
    424,  -130.88p,  -684.72p,   553.84p,   10.000m,   18.056M
    425,  -129.49p,  -683.06p,   553.57p,   10.000m,   18.064M
    426,  -133.19p,  -675.84p,   542.65p,   10.000m,   18.428M
    427,  -131.48p,  -702.81p,   571.33p,   10.000m,   17.503M
    428,  -133.41p,  -686.97p,   553.56p,   10.000m,   18.065M
    429,  -136.00p,  -697.22p,   561.21p,   10.000m,   17.818M
    430,  -139.65p,  -689.22p,   549.57p,   10.000m,   18.196M
    431,  -131.09p,  -699.81p,   568.72p,   10.000m,   17.583M
    432,  -135.06p,  -683.38p,   548.32p,   10.000m,   18.238M
    433,  -130.53p,  -685.69p,   555.16p,   10.000m,   18.013M
    434,  -128.59p,  -698.16p,   569.57p,   10.000m,   17.557M
    435,  -128.12p,  -684.38p,   556.26p,   10.000m,   17.977M
    436,  -130.73p,  -690.41p,   559.68p,   10.000m,   17.867M
    437,  -133.25p,  -685.59p,   552.34p,   10.000m,   18.105M
    438,  -131.76p,  -687.84p,   556.09p,   10.000m,   17.983M
    439,  -131.79p,  -693.88p,   562.08p,   10.000m,   17.791M
    440,  -135.54p,  -700.09p,   564.55p,   10.000m,   17.713M
    441,  -135.17p,  -707.09p,   571.92p,   10.000m,   17.485M
    442,  -134.98p,  -708.59p,   573.62p,   10.000m,   17.433M
    443,  -134.22p,  -697.72p,   563.50p,   10.000m,   17.746M
    444,  -134.50p,  -695.66p,   561.16p,   10.000m,   17.820M
    445,  -134.98p,  -701.59p,   566.62p,   10.000m,   17.649M
    446,  -136.16p,  -704.19p,   568.03p,   10.000m,   17.605M
    447,  -129.78p,  -696.66p,   566.88p,   10.000m,   17.640M
    448,  -133.13p,  -714.78p,   581.65p,   10.000m,   17.193M
    449,  -132.55p,  -708.62p,   576.07p,   10.000m,   17.359M
    450,  -134.83p,  -707.25p,   572.42p,   10.000m,   17.470M
    451,  -132.74p,  -700.31p,   567.58p,   10.000m,   17.619M
    452,  -136.16p,  -690.25p,   554.09p,   10.000m,   18.048M
    453,  -133.48p,  -705.41p,   571.92p,   10.000m,   17.485M
    454,  -132.98p,  -687.69p,   554.71p,   10.000m,   18.027M
    455,  -132.89p,  -710.16p,   577.27p,   10.000m,   17.323M
    456,  -130.05p,  -705.06p,   575.01p,   10.000m,   17.391M
    457,  -133.45p,  -712.44p,   578.99p,   10.000m,   17.272M
    458,  -130.20p,  -701.81p,   571.61p,   10.000m,   17.494M
    459,  -133.46p,  -695.34p,   561.88p,   10.000m,   17.797M
    460,  -132.64p,  -698.34p,   565.70p,   10.000m,   17.677M
    461,  -133.00p,  -712.91p,   579.91p,   10.000m,   17.244M
    462,  -131.40p,  -708.44p,   577.04p,   10.000m,   17.330M
    463,  -131.58p,  -707.81p,   576.23p,   10.000m,   17.354M
    464,  -133.53p,  -702.63p,   569.09p,   10.000m,   17.572M
    465,  -135.91p,  -706.53p,   570.62p,   10.000m,   17.525M
    466,  -132.19p,  -701.66p,   569.46p,   10.000m,   17.560M
    467,  -133.49p,  -696.72p,   563.23p,   10.000m,   17.755M
    468,  -134.44p,  -698.34p,   563.90p,   10.000m,   17.734M
    469,  -134.67p,  -700.66p,   565.99p,   10.000m,   17.668M
    470,  -137.07p,  -704.41p,   567.33p,   10.000m,   17.626M
    471,  -133.71p,  -713.50p,   579.79p,   10.000m,   17.248M
    472,  -135.29p,  -700.94p,   565.65p,   10.000m,   17.679M
    473,  -136.65p,  -697.53p,   560.88p,   10.000m,   17.829M
    474,  -134.18p,  -757.81p,   623.63p,   10.000m,   16.035M
    475,  -137.45p,  -703.22p,   565.77p,   10.000m,   17.675M
    476,  -137.97p,  -688.50p,   550.53p,   10.000m,   18.164M
    477,  -135.67p,  -723.28p,   587.61p,   10.000m,   17.018M
    478,  -137.16p,  -707.59p,   570.43p,   10.000m,   17.531M
    479,  -140.19p,  -725.66p,   585.47p,   10.000m,   17.080M
    480,  -238.77p,  -1.0240n,   785.23p,   10.000m,   12.735M
    481,  -259.30p,  -685.75p,   426.45p,   10.000m,   23.450M
    482,  -85.497p,  -651.22p,   565.72p,   10.000m,   17.677M
    483,  -105.67p,  -680.34p,   574.67p,   10.000m,   17.401M
    484,  -127.65p,  -700.63p,   572.98p,   10.000m,   17.453M
    485,  -141.65p,  -706.53p,   564.88p,   10.000m,   17.703M
    486,  -142.17p,  -706.16p,   563.99p,   10.000m,   17.731M
    487,  -143.46p,  -710.41p,   566.94p,   10.000m,   17.638M
    488,  -139.76p,  -710.37p,   570.62p,   10.000m,   17.525M
    489,  -139.84p,  -713.34p,   573.50p,   10.000m,   17.437M
    490,  -172.11p,  -1.0240n,   851.89p,   10.000m,   11.739M
    491,  -227.20p,  -695.09p,   467.89p,   10.000m,   21.373M
    492,  -96.972p,  -843.56p,   746.59p,   10.000m,   13.394M
    493,  -110.80p,  -680.81p,   570.01p,   10.000m,   17.543M
    494,  -124.06p,  -698.84p,   574.78p,   10.000m,   17.398M
    495,  -132.50p,  -694.38p,   561.87p,   10.000m,   17.798M
    496,  -135.19p,  -708.94p,   573.75p,   10.000m,   17.429M
    497,  -134.42p,  -703.09p,   568.68p,   10.000m,   17.585M
    498,  -133.90p,  -699.16p,   565.26p,   10.000m,   17.691M
    499,  -247.60p,  -784.50p,   536.90p,   10.000m,   18.626M
    500,  -138.08p,  -674.16p,   536.07p,   10.000m,   18.654M
    501,  -107.65p,  -678.44p,   570.79p,   10.000m,   17.520M
    502,  -114.33p,  -701.88p,   587.54p,   10.000m,   17.020M
    503,  -123.31p,  -706.28p,   582.97p,   10.000m,   17.153M
    504,  -126.09p,  -694.91p,   568.81p,   10.000m,   17.581M
    505,  -127.34p,  -696.59p,   569.25p,   10.000m,   17.567M
    506,  -132.07p,  -699.25p,   567.18p,   10.000m,   17.631M
    507,  -131.97p,  -706.47p,   574.50p,   10.000m,   17.406M
    508,  -127.53p,  -699.66p,   572.13p,   10.000m,   17.479M
    509,  -127.23p,  -712.84p,   585.61p,   10.000m,   17.076M
    510,  -129.71p,  -707.22p,   577.51p,   10.000m,   17.316M
    511,  -127.34p,  -697.22p,   569.88p,   10.000m,   17.548M
    512,  -128.94p,  -687.56p,   558.62p,   10.000m,   17.901M
    513,  -127.94p,  -697.34p,   569.40p,   10.000m,   17.562M
    514,  -130.38p,  -701.12p,   570.75p,   10.000m,   17.521M
    515,  -134.83p,  -705.53p,   570.70p,   10.000m,   17.522M
    516,  -128.55p,  -703.00p,   574.45p,   10.000m,   17.408M
    517,  -131.90p,  -709.22p,   577.32p,   10.000m,   17.321M
    518,  -130.98p,  -692.56p,   561.58p,   10.000m,   17.807M
    519,  -126.93p,  -712.56p,   585.63p,   10.000m,   17.076M
    520,  -138.35p,  -830.75p,   692.40p,   10.000m,   14.442M
    521,  -130.36p,  -701.72p,   571.36p,   10.000m,   17.502M
    522,  -141.17p,  -704.00p,   562.83p,   10.000m,   17.767M
    523,  -127.56p,  -719.97p,   592.41p,   10.000m,   16.880M
    524,  -131.83p,  -707.47p,   575.64p,   10.000m,   17.372M
    525,  -133.20p,  -714.72p,   581.52p,   10.000m,   17.196M
    526,  -131.04p,  -708.56p,   577.52p,   10.000m,   17.315M
    527,  -130.06p,  -708.84p,   578.78p,   10.000m,   17.278M
    528,  -131.96p,  -722.94p,   590.97p,   10.000m,   16.921M
    529,  -135.45p,  -711.22p,   575.76p,   10.000m,   17.368M
    530,  -133.60p,  -713.94p,   580.34p,   10.000m,   17.231M
    531,  -132.51p,  -724.12p,   591.61p,   10.000m,   16.903M
    532,  -132.59p,  -717.56p,   584.97p,   10.000m,   17.095M
    533,  -130.81p,  -699.69p,   568.87p,   10.000m,   17.579M
    534,  -130.61p,  -707.44p,   576.83p,   10.000m,   17.336M
    535,  -133.09p,  -717.09p,   584.01p,   10.000m,   17.123M
    536,  -132.54p,  -713.91p,   581.37p,   10.000m,   17.201M
    537,  -133.68p,  -729.75p,   596.07p,   10.000m,   16.777M
    538,  -134.26p,  -704.75p,   570.49p,   10.000m,   17.529M
    539,  -131.29p,  -722.66p,   591.37p,   10.000m,   16.910M
    540,  -154.58p,  -721.72p,   567.14p,   10.000m,   17.632M
    541,  -133.77p,  -711.00p,   577.23p,   10.000m,   17.324M
    542,  -134.48p,  -719.28p,   584.80p,   10.000m,   17.100M
    543,  -139.53p,  -719.28p,   579.75p,   10.000m,   17.249M
    544,  -137.10p,  -724.00p,   586.90p,   10.000m,   17.039M
    545,  -135.69p,  -725.16p,   589.47p,   10.000m,   16.964M
    546,  -136.38p,  -716.19p,   579.81p,   10.000m,   17.247M
    547,  -136.71p,  -726.56p,   589.86p,   10.000m,   16.953M
    548,  -138.63p,  -710.63p,   572.00p,   10.000m,   17.483M
    549,  -133.43p,  -730.84p,   597.41p,   10.000m,   16.739M
    550,  -132.53p,  -710.56p,   578.03p,   10.000m,   17.300M
    551,  -135.44p,  -723.41p,   587.96p,   10.000m,   17.008M
    552,  -135.87p,  -705.50p,   569.63p,   10.000m,   17.555M
    553,  -134.54p,  -705.19p,   570.64p,   10.000m,   17.524M
    554,  -132.98p,  -720.94p,   587.96p,   10.000m,   17.008M
    555,  -134.30p,  -732.41p,   598.10p,   10.000m,   16.720M
    556,  -137.68p,  -707.81p,   570.13p,   10.000m,   17.540M
    557,  -139.21p,  -737.50p,   598.29p,   10.000m,   16.714M
    558,  -143.72p,  -726.22p,   582.50p,   10.000m,   17.167M
    559,  -140.01p,  -716.75p,   576.74p,   10.000m,   17.339M
    560,  -142.55p,  -727.97p,   585.41p,   10.000m,   17.082M
    561,  -143.67p,  -717.09p,   573.42p,   10.000m,   17.439M
    562,  -138.72p,  -727.91p,   589.18p,   10.000m,   16.973M
    563,  -134.58p,  -730.28p,   595.70p,   10.000m,   16.787M
    564,  -137.72p,  -725.84p,   588.12p,   10.000m,   17.003M
    565,  -136.50p,  -712.69p,   576.19p,   10.000m,   17.355M
    566,  -136.68p,  -715.97p,   579.29p,   10.000m,   17.263M
    567,  -133.57p,  -710.88p,   577.31p,   10.000m,   17.322M
    568,  -136.84p,  -721.75p,   584.91p,   10.000m,   17.097M
    569,  -136.58p,  -719.28p,   582.70p,   10.000m,   17.161M
    570,  -136.56p,  -728.44p,   591.87p,   10.000m,   16.895M
    571,  -136.74p,  -718.16p,   581.42p,   10.000m,   17.199M
    572,  -135.90p,  -711.06p,   575.17p,   10.000m,   17.386M
    573,  -141.43p,  -717.50p,   576.07p,   10.000m,   17.359M
    574,  -138.20p,  -726.56p,   588.36p,   10.000m,   16.996M
    575,  -138.48p,  -723.84p,   585.37p,   10.000m,   17.083M
    576,  -138.80p,  -704.00p,   565.20p,   10.000m,   17.693M
    577,  -137.73p,  -740.13p,   602.39p,   10.000m,   16.600M
    578,  -134.49p,  -723.53p,   589.05p,   10.000m,   16.977M
    579,  -138.45p,  -720.00p,   581.55p,   10.000m,   17.195M
    580,  -141.47p,  -738.00p,   596.53p,   10.000m,   16.764M
    581,  -139.14p,  -725.31p,   586.17p,   10.000m,   17.060M
    582,  -137.70p,  -725.41p,   587.71p,   10.000m,   17.015M
    583,  -138.68p,  -742.09p,   603.42p,   10.000m,   16.572M
    584,  -141.72p,  -742.56p,   600.84p,   10.000m,   16.643M
    585,  -142.33p,  -741.41p,   599.08p,   10.000m,   16.692M
    586,  -139.91p,  -735.72p,   595.80p,   10.000m,   16.784M
    587,  -136.43p,  -722.81p,   586.38p,   10.000m,   17.054M
    588,  -140.45p,  -732.75p,   592.30p,   10.000m,   16.883M
    589,  -135.80p,  -728.31p,   592.51p,   10.000m,   16.877M
    590,  -137.74p,  -738.13p,   600.38p,   10.000m,   16.656M
    591,  -139.99p,  -717.37p,   577.38p,   10.000m,   17.320M
    592,  -141.23p,  -724.22p,   582.99p,   10.000m,   17.153M
    593,  -141.33p,  -740.69p,   599.36p,   10.000m,   16.685M
    594,  -145.09p,  -735.50p,   590.41p,   10.000m,   16.937M
    595,  -141.77p,  -743.72p,   601.95p,   10.000m,   16.613M
    596,  -140.57p,  -730.88p,   590.31p,   10.000m,   16.940M
    597,  -143.70p,  -715.75p,   572.05p,   10.000m,   17.481M
    598,  -139.71p,  -722.97p,   583.26p,   10.000m,   17.145M
    599,  -140.50p,  -739.69p,   599.19p,   10.000m,   16.689M
    600,  -144.68p,  -726.91p,   582.23p,   10.000m,   17.175M
    601,  -142.79p,  -734.31p,   591.53p,   10.000m,   16.905M
    602,  -145.65p,  -723.66p,   578.01p,   10.000m,   17.301M
    603,  -144.10p,  -720.94p,   576.83p,   10.000m,   17.336M
    604,  -143.45p,  -731.38p,   587.92p,   10.000m,   17.009M
    605,  -145.85p,  -739.97p,   594.12p,   10.000m,   16.832M
    606,  -144.73p,  -728.50p,   583.77p,   10.000m,   17.130M
    607,  -145.99p,  -728.16p,   582.17p,   10.000m,   17.177M
    608,  -143.13p,  -734.84p,   591.71p,   10.000m,   16.900M
    609,  -144.73p,  -735.13p,   590.39p,   10.000m,   16.938M
    610,  -142.95p,  -723.06p,   580.11p,   10.000m,   17.238M
    611,  -140.56p,  -717.13p,   576.56p,   10.000m,   17.344M
    612,  -140.90p,  -719.50p,   578.60p,   10.000m,   17.283M
    613,  -139.39p,  -724.25p,   584.86p,   10.000m,   17.098M
    614,  -140.06p,  -722.81p,   582.75p,   10.000m,   17.160M
    615,  -143.72p,  -737.59p,   593.88p,   10.000m,   16.839M
    616,  -142.94p,  -753.22p,   610.28p,   10.000m,   16.386M
    617,  -144.43p,  -735.34p,   590.91p,   10.000m,   16.923M
    618,  -145.12p,  -726.16p,   581.04p,   10.000m,   17.211M
    619,  -145.92p,  -726.34p,   580.43p,   10.000m,   17.229M
    620,  -144.37p,  -762.84p,   618.47p,   10.000m,   16.169M
    621,  -148.38p,  -730.06p,   581.68p,   10.000m,   17.192M
    622,  -145.92p,  -731.50p,   585.58p,   10.000m,   17.077M
    623,  -147.73p,  -739.12p,   591.40p,   10.000m,   16.909M
    624,  -282.28p,  -890.19p,   607.91p,   10.000m,   16.450M
    625,  -178.78p,  -702.63p,   523.84p,   10.000m,   19.090M
    626,  -112.18p,  -710.91p,   598.73p,   10.000m,   16.702M
    627,  -128.76p,  -704.50p,   575.74p,   10.000m,   17.369M
    628,  -137.74p,  -722.19p,   584.45p,   10.000m,   17.110M
    629,  -146.78p,  -745.91p,   599.12p,   10.000m,   16.691M
    630,  -145.79p,  -724.59p,   578.80p,   10.000m,   17.277M
    631,  -149.71p,  -735.44p,   585.73p,   10.000m,   17.073M
    632,  -152.91p,  -731.16p,   578.24p,   10.000m,   17.294M
    633,  -155.78p,  -768.53p,   612.75p,   10.000m,   16.320M
    634,  -150.76p,  -738.69p,   587.93p,   10.000m,   17.009M
    635,  -144.98p,  -740.03p,   595.05p,   10.000m,   16.805M
    636,  -150.90p,  -739.34p,   588.44p,   10.000m,   16.994M
    637,  -146.83p,  -730.69p,   583.85p,   10.000m,   17.128M
    638,  -145.83p,  -725.22p,   579.39p,   10.000m,   17.260M
    639,  -142.52p,  -721.22p,   578.69p,   10.000m,   17.280M
    640,  -153.60p,  -747.87p,   594.28p,   10.000m,   16.827M
    641,  -141.35p,  -716.44p,   575.08p,   10.000m,   17.389M
    642,  -142.66p,  -712.31p,   569.66p,   10.000m,   17.554M
    643,  -143.19p,  -734.53p,   591.34p,   10.000m,   16.911M
    644,  -143.26p,  -738.00p,   594.74p,   10.000m,   16.814M
    645,  -148.61p,  -739.12p,   590.52p,   10.000m,   16.934M
    646,  -150.34p,  -740.75p,   590.41p,   10.000m,   16.937M
    647,  -146.49p,  -742.44p,   595.95p,   10.000m,   16.780M
    648,  -149.78p,  -744.66p,   594.87p,   10.000m,   16.810M
    649,  -146.64p,  -749.87p,   603.23p,   10.000m,   16.577M
    650,  -143.10p,  -750.22p,   607.12p,   10.000m,   16.471M
    651,  -145.45p,  -729.59p,   584.15p,   10.000m,   17.119M
    652,  -147.56p,  -749.97p,   602.41p,   10.000m,   16.600M
    653,  -144.92p,  -722.94p,   578.02p,   10.000m,   17.301M
    654,  -147.00p,  -751.94p,   604.94p,   10.000m,   16.531M
    655,  -148.97p,  -751.22p,   602.24p,   10.000m,   16.605M
    656,  -145.59p,  -737.00p,   591.41p,   10.000m,   16.909M
    657,  -144.21p,  -747.03p,   602.82p,   10.000m,   16.589M
    658,  -147.68p,  -747.31p,   599.64p,   10.000m,   16.677M
    659,  -148.52p,  -735.16p,   586.64p,   10.000m,   17.046M
    660,  -146.84p,  -748.19p,   601.34p,   10.000m,   16.629M
    661,  -145.10p,  -745.84p,   600.74p,   10.000m,   16.646M
    662,  -149.70p,  -717.00p,   567.30p,   10.000m,   17.627M
    663,  -147.01p,  -734.84p,   587.83p,   10.000m,   17.012M
    664,  -145.48p,  -719.06p,   573.58p,   10.000m,   17.434M
    665,  -148.81p,  -735.16p,   586.34p,   10.000m,   17.055M
    666,  -146.54p,  -729.47p,   582.92p,   10.000m,   17.155M
    667,  -147.28p,  -730.84p,   583.57p,   10.000m,   17.136M
    668,  -148.19p,  -725.34p,   577.16p,   10.000m,   17.326M
    669,  -150.69p,  -740.44p,   589.75p,   10.000m,   16.956M
    670,  -146.69p,  -735.63p,   588.93p,   10.000m,   16.980M
    671,  -147.20p,  -740.91p,   593.71p,   10.000m,   16.843M
    672,  -147.23p,  -735.00p,   587.77p,   10.000m,   17.014M
    673,  -146.98p,  -757.63p,   610.65p,   10.000m,   16.376M
    674,  -145.87p,  -773.59p,   627.73p,   10.000m,   15.930M
    675,  -150.05p,  -753.66p,   603.61p,   10.000m,   16.567M
    676,  -146.33p,  -733.97p,   587.64p,   10.000m,   17.017M
    677,  -148.19p,  -754.47p,   606.28p,   10.000m,   16.494M
    678,  -147.04p,  -749.03p,   601.99p,   10.000m,   16.612M
    679,  -147.91p,  -737.94p,   590.03p,   10.000m,   16.948M
    680,  -149.03p,  -733.16p,   584.12p,   10.000m,   17.120M
    681,  -141.92p,  -772.91p,   630.99p,   10.000m,   15.848M
    682,  -145.17p,  -747.28p,   602.11p,   10.000m,   16.608M
    683,  -259.86p,  -863.00p,   603.14p,   10.000m,   16.580M
    684,  -174.91p,  -701.41p,   526.50p,   10.000m,   18.993M
    685,  -116.72p,  -725.19p,   608.47p,   10.000m,   16.435M
    686,  -130.93p,  -719.06p,   588.13p,   10.000m,   17.003M
    687,  -138.65p,  -734.56p,   595.91p,   10.000m,   16.781M
    688,  -145.62p,  -741.66p,   596.04p,   10.000m,   16.777M
    689,  -151.92p,  -744.91p,   592.99p,   10.000m,   16.864M
    690,  -143.58p,  -746.22p,   602.64p,   10.000m,   16.594M
    691,  -141.53p,  -727.87p,   586.34p,   10.000m,   17.055M
    692,  -145.97p,  -729.78p,   583.82p,   10.000m,   17.129M
    693,  -151.80p,  -751.22p,   599.42p,   10.000m,   16.683M
    694,  -152.82p,  -750.91p,   598.09p,   10.000m,   16.720M
    695,  -152.67p,  -747.44p,   594.76p,   10.000m,   16.813M
    696,  -148.35p,  -754.66p,   606.31p,   10.000m,   16.493M
    697,  -149.82p,  -800.13p,   650.31p,   10.000m,   15.377M
    698,  -145.79p,  -726.41p,   580.62p,   10.000m,   17.223M
    699,  -148.12p,  -746.25p,   598.13p,   10.000m,   16.719M
    700,  -153.28p,  -800.44p,   647.16p,   10.000m,   15.452M
    701,  -153.85p,  -738.31p,   584.47p,   10.000m,   17.110M
    702,  -157.80p,  -741.31p,   583.51p,   10.000m,   17.138M
    703,  -154.93p,  -751.22p,   596.28p,   10.000m,   16.771M
    704,  -151.16p,  -753.34p,   602.19p,   10.000m,   16.606M
    705,  -156.43p,  -742.03p,   585.60p,   10.000m,   17.076M
    706,  -155.92p,  -752.34p,   596.43p,   10.000m,   16.767M
    707,  -163.07p,  -764.00p,   600.93p,   10.000m,   16.641M
    708,  -155.41p,  -749.94p,   594.52p,   10.000m,   16.820M
    709,  -156.98p,  -739.28p,   582.30p,   10.000m,   17.173M
    710,  -159.91p,  -731.44p,   571.53p,   10.000m,   17.497M
    711,  -154.75p,  -742.94p,   588.18p,   10.000m,   17.002M
    712,  -155.96p,  -757.72p,   601.75p,   10.000m,   16.618M
    713,  -149.44p,  -752.12p,   602.68p,   10.000m,   16.592M
    714,  -151.10p,  -739.09p,   587.99p,   10.000m,   17.007M
    715,  -149.93p,  -738.06p,   588.13p,   10.000m,   17.003M
    716,  -150.73p,  -736.50p,   585.77p,   10.000m,   17.072M
    717,  -153.96p,  -754.59p,   600.64p,   10.000m,   16.649M
    718,  -161.81p,  -734.87p,   573.07p,   10.000m,   17.450M
    719,  -151.48p,  -733.25p,   581.77p,   10.000m,   17.189M
    720,  -150.15p,  -751.03p,   600.88p,   10.000m,   16.642M
    721,  -154.13p,  -734.63p,   580.50p,   10.000m,   17.227M
    722,  -155.99p,  -766.72p,   610.73p,   10.000m,   16.374M
    723,  -153.94p,  -787.53p,   633.59p,   10.000m,   15.783M
    724,  -155.14p,  -757.53p,   602.40p,   10.000m,   16.600M
    725,  -154.46p,  -744.62p,   590.17p,   10.000m,   16.944M
    726,  -155.76p,  -735.97p,   580.21p,   10.000m,   17.235M
    727,  -156.96p,  -741.12p,   584.17p,   10.000m,   17.118M
    728,  -156.45p,  -734.06p,   577.61p,   10.000m,   17.313M
    729,  -156.63p,  -742.47p,   585.84p,   10.000m,   17.070M
    730,  -152.30p,  -744.59p,   592.30p,   10.000m,   16.883M
    731,  -151.94p,  -739.91p,   587.97p,   10.000m,   17.008M
    732,  -248.47p,  -836.66p,   588.19p,   10.000m,   17.001M
    733,  -196.13p,  -725.03p,   528.90p,   10.000m,   18.907M
    734,  -133.98p,  -738.50p,   604.52p,   10.000m,   16.542M
    735,  -139.95p,  -734.87p,   594.93p,   10.000m,   16.809M
    736,  -143.00p,  -744.00p,   601.00p,   10.000m,   16.639M
    737,  -150.18p,  -762.00p,   611.82p,   10.000m,   16.345M
    738,  -156.05p,  -742.59p,   586.54p,   10.000m,   17.049M
    739,  -154.05p,  -738.56p,   584.52p,   10.000m,   17.108M
    740,  -152.22p,  -739.31p,   587.09p,   10.000m,   17.033M
    741,  -170.45p,  -735.06p,   564.61p,   10.000m,   17.711M
    742,  -154.17p,  -742.44p,   588.26p,   10.000m,   16.999M
    743,  -155.99p,  -742.06p,   586.07p,   10.000m,   17.063M
    744,  -160.14p,  -754.03p,   593.89p,   10.000m,   16.838M
    745,  -153.86p,  -734.87p,   581.02p,   10.000m,   17.211M
    746,  -154.75p,  -743.72p,   588.97p,   10.000m,   16.979M
    747,  -155.49p,  -761.00p,   605.51p,   10.000m,   16.515M
    748,  -154.82p,  -751.94p,   597.12p,   10.000m,   16.747M
    749,  -157.06p,  -747.97p,   590.91p,   10.000m,   16.923M
    750,  -157.94p,  -741.78p,   583.84p,   10.000m,   17.128M
