
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
      1,    0.00000000,             1,  -60.9035308m,  -14.3857268m
      2,    1.00000000,             2,  -59.7181813m,  -19.3888820m
      3,    2.00000000,             3,  -59.4447126m,  -17.7563443m
      4,    3.00000000,             4,  -58.5788537m,  -22.0533220m
      5,    4.00000000,             5,  -58.1700116m,  -16.4409130m
      6,    5.00000000,             6,  -58.5418996m,  -17.2521288m
      7,    6.00000000,             7,  -58.6600255m,  -16.7350715m
      8,    7.00000000,             8,  -57.9222000m,  -20.8195849m
      9,    8.00000000,             9,  -58.1402959m,  -17.0530348m
     10,    9.00000000,            10,  -57.1046434m,  -17.5196090m
     11,    10.0000000,            11,  -56.7999870m,  -16.3954155m
     12,    11.0000000,            12,  -55.9000531m,  -17.2157439m
     13,    12.0000000,            13,  -55.0568199m,  -13.7963639m
     14,    13.0000000,            14,  -52.7184954m,  -14.9488764m
     15,    14.0000000,            15,  -42.6866061m,  -10.5020708m
     16,    15.0000000,            16,  -52.4987351m,  -13.6331009m
     17,    16.0000000,            17,  -38.1512927m,   9.77430181m
     18,    17.0000000,            18,  -39.0138561m,   18.1130753m
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
    124,   55.5568119k,  -117.226553p,  -768.812514p,   651.585960p,   10.0000000m,   15.3471692M
    125,   55.5572489k,  -126.562823p,  -754.968754p,   628.405931p,   10.0000000m,   15.9132807M
    126,   55.5577009k,  -125.028523p,  -769.718733p,   644.690210p,   10.0000000m,   15.5113260M
    127,   55.5581373k,  -119.326387p,  -772.874986p,   653.548600p,   10.0000000m,   15.3010809M
    128,   55.5585899k,  -110.681110p,  -759.843743p,   649.162633p,   10.0000000m,   15.4044603M
    129,   55.5590429k,  -124.523786p,  -758.812513p,   634.288726p,   10.0000000m,   15.7656909M
    130,   55.5594863k,  -119.274536p,  -751.531226p,   632.256690p,   10.0000000m,   15.8163609M
    131,   55.5599319k,  -110.882224p,  -751.093743p,   640.211518p,   10.0000000m,   15.6198377M
    132,   55.5603689k,  -117.802583p,  -744.468764p,   626.666182p,   10.0000000m,   15.9574592M
    133,   55.5608209k,  -121.993763p,  -752.500007p,   630.506244p,   10.0000000m,   15.8602712M
    134,   55.5612579k,  -114.175606p,  -767.406250p,   653.230643p,   10.0000000m,   15.3085286M
    135,   55.5617099k,  -122.569741p,  -766.124997p,   643.555256p,   10.0000000m,   15.5386813M
    136,   55.5621622k,  -124.673817p,  -764.375008p,   639.701191p,   10.0000000m,   15.6322986M
    137,   55.5626057k,  -126.848044p,  -778.468734p,   651.620690p,   10.0000000m,   15.3463513M
    138,   55.5630519k,  -116.698660p,  -769.593778p,   652.895117p,   10.0000000m,   15.3163958M
    139,   55.5634889k,  -113.082282p,  -764.656227p,   651.573945p,   10.0000000m,   15.3474522M
    140,   55.5639409k,  -118.366173p,  -765.656261p,   647.290087p,   10.0000000m,   15.4490239M
    141,   55.5643779k,  -120.328789p,  -748.499984p,   628.171195p,   10.0000000m,   15.9192272M
    142,   55.5648299k,  -120.027262p,  -760.812524p,   640.785262p,   10.0000000m,   15.6058521M
    143,   55.5652829k,  -113.425845p,  -761.718744p,   648.292899p,   10.0000000m,   15.4251265M
    144,   55.5657269k,  -124.815788p,  -786.312515p,   661.496727p,   10.0000000m,   15.1172328M
    145,   55.5661719k,  -112.987050p,  -761.687491p,   648.700441p,   10.0000000m,   15.4154358M
    146,   55.5666089k,  -110.881049p,  -755.750018p,   644.868969p,   10.0000000m,   15.5070262M
    147,   55.5670609k,  -114.610823p,  -754.468765p,   639.857942p,   10.0000000m,   15.6284690M
    148,   55.5674979k,  -117.746012p,  -747.468754p,   629.722741p,   10.0000000m,   15.8800046M
    149,   55.5679499k,  -112.466824p,  -754.781238p,   642.314413p,   10.0000000m,   15.5686994M
    150,   55.5684029k,  -162.570048p,  -784.656229p,   622.086180p,   10.0000000m,   16.0749432M
    151,   55.5688464k,  -116.285254p,  -759.031227p,   642.745973p,   10.0000000m,   15.5582461M
    152,   55.5692919k,  -109.472021p,  -760.249974p,   650.777953p,   10.0000000m,   15.3662243M
    153,   55.5697289k,  -119.589217p,  -763.031249p,   643.442032p,   10.0000000m,   15.5414155M
    154,   55.5701809k,  -115.171943p,  -765.843777p,   650.671835p,   10.0000000m,   15.3687304M
    155,   55.5706179k,  -116.439510p,  -746.812501p,   630.372990p,   10.0000000m,   15.8636238M
    156,   55.5710699k,  -125.042547p,  -767.531261p,   642.488714p,   10.0000000m,   15.5644757M
    157,   55.5715229k,  -121.188317p,  -764.500019p,   643.311701p,   10.0000000m,   15.5445641M
    158,   55.5719665k,  -123.601911p,  -770.781272p,   647.179361p,   10.0000000m,   15.4516670M
    159,   55.5724119k,  -121.890965p,  -759.406260p,   637.515295p,   10.0000000m,   15.6858982M
    160,   55.5728489k,  -123.464200p,  -777.374998p,   653.910798p,   10.0000000m,   15.2926057M
    161,   55.5733009k,  -122.858182p,  -785.156273p,   662.298092p,   10.0000000m,   15.0989413M
    162,   55.5737379k,  -120.651376p,  -749.531270p,   628.879894p,   10.0000000m,   15.9012875M
    163,   55.5741899k,  -113.583816p,  -748.937523p,   635.353707p,   10.0000000m,   15.7392644M
    164,   55.5746428k,  -118.680940p,  -751.531226p,   632.850287p,   10.0000000m,   15.8015256M
    165,   55.5750856k,  -107.785851p,  -754.093732p,   646.307881p,   10.0000000m,   15.4725020M
    166,   55.5755319k,  -114.334549p,  -747.562512p,   633.227963p,   10.0000000m,   15.7921011M
    167,   55.5759689k,  -110.525627p,  -754.656226p,   644.130599p,   10.0000000m,   15.5248020M
    168,   55.5764209k,  -199.142312p,  -810.812473p,   611.670161p,   10.0000000m,   16.3486804M
    169,   55.5768579k,  -120.041269p,  -753.781260p,   633.739991p,   10.0000000m,   15.7793419M
    170,   55.5773099k,  -118.507446p,  -757.343743p,   638.836297p,   10.0000000m,   15.6534625M
    171,   55.5777629k,  -117.268419p,  -760.812524p,   643.544105p,   10.0000000m,   15.5389505M
    172,   55.5782064k,  -121.377112p,  -783.156262p,   661.779150p,   10.0000000m,   15.1107813M
    173,   55.5786519k,  -120.594806p,  -745.281226p,   624.686419p,   10.0000000m,   16.0080317M
    174,   55.5790883k,  -128.062295p,  -776.031239p,   647.968944p,   10.0000000m,   15.4328384M
    175,   55.5795409k,  -117.709208p,  -763.531238p,   645.822031p,   10.0000000m,   15.4841420M
    176,   55.5799779k,  -114.649383p,  -755.312479p,   640.663096p,   10.0000000m,   15.6088279M
    177,   55.5804299k,  -121.594380p,  -767.843733p,   646.249353p,   10.0000000m,   15.4739033M
    178,   55.5808829k,  -120.536924p,  -763.656249p,   643.119326p,   10.0000000m,   15.5492140M
    179,   55.5813268k,  -123.496967p,  -778.937526p,   655.440559p,   10.0000000m,   15.2569136M
    180,   55.5817719k,  -126.270225p,  -769.968755p,   643.698530p,   10.0000000m,   15.5352227M
    181,   55.5822089k,  -206.659658p,  -1.02400000n,   817.340338p,   10.0000000m,   12.2348054M
    182,   55.5826609k,  -196.788236p,  -810.812473p,   614.024237p,   10.0000000m,   16.2860021M
    183,   55.5830972k,  -119.317952p,  -760.656260p,   641.338308p,   10.0000000m,   15.5923946M
    184,   55.5835499k,  -113.361675p,  -755.781271p,   642.419596p,   10.0000000m,   15.5661503M
    185,   55.5840029k,  -109.161004p,  -763.875019p,   654.714015p,   10.0000000m,   15.2738444M
    186,   55.5844468k,  -127.741310p,  -774.687481p,   646.946171p,   10.0000000m,   15.4572365M
    187,   55.5848919k,  -128.243593p,  -764.249997p,   636.006404p,   10.0000000m,   15.7231121M
    188,   55.5853289k,  -129.229433p,  -777.343745p,   648.114312p,   10.0000000m,   15.4293769M
    189,   55.5857809k,  -121.875119p,  -765.031261p,   643.156142p,   10.0000000m,   15.5483239M
    190,   55.5862179k,  -221.554202p,  -1.02400000n,   802.445794p,   10.0000000m,   12.4619009M
    191,   55.5866699k,  -193.186443p,  -1.02400000n,   830.813552p,   10.0000000m,   12.0363949M
    192,   55.5871223k,  -127.824887p,  -777.562514p,   649.737627p,   10.0000000m,   15.3908279M
    193,   55.5875662k,  -136.126567p,  -795.156274p,   659.029707p,   10.0000000m,   15.1738228M
    194,   55.5880119k,  -128.732057p,  -766.875008p,   638.142951p,   10.0000000m,   15.6704701M
    195,   55.5884489k,  -129.326693p,  -772.406250p,   643.079557p,   10.0000000m,   15.5501756M
    196,   55.5889009k,  -140.662503p,  -795.031263p,   654.368760p,   10.0000000m,   15.2819031M
    197,   55.5893379k,  -125.455425p,  -783.312526p,   657.857101p,   10.0000000m,   15.2008696M
    198,   55.5897899k,  -124.793586p,  -776.468723p,   651.675137p,   10.0000000m,   15.3450691M
    199,   55.5902429k,  -124.135087p,  -765.437491p,   641.302405p,   10.0000000m,   15.5932676M
    200,   55.5906869k,  -111.937670p,  -779.343756p,   667.406086p,   10.0000000m,   14.9833815M
    201,   55.5911313k,  -124.194060p,  -772.218733p,   648.024674p,   10.0000000m,   15.4315112M
    202,   55.5915689k,  -129.263819p,  -789.781240p,   660.517422p,   10.0000000m,   15.1396461M
    203,   55.5920209k,  -126.026206p,  -764.749986p,   638.723780p,   10.0000000m,   15.6562200M
    204,   55.5924579k,  -127.377061p,  -778.718756p,   651.341695p,   10.0000000m,   15.3529247M
    205,   55.5929099k,  -130.815993p,  -786.250010p,   655.434017p,   10.0000000m,   15.2570659M
    206,   55.5933629k,  -123.235005p,  -768.750008p,   645.515003p,   10.0000000m,   15.4915067M
    207,   55.5938071k,  -125.166763p,  -787.593768p,   662.427005p,   10.0000000m,   15.0960029M
    208,   55.5942519k,  -124.941657p,  -768.031250p,   643.089592p,   10.0000000m,   15.5499329M
    209,   55.5946889k,  -137.239061p,  -803.343725p,   666.104664p,   10.0000000m,   15.0126557M
    210,   55.5951403k,  -134.802038p,  -797.999999p,   663.197962p,   10.0000000m,   15.0784541M
    211,   55.5955779k,  -134.417922p,  -785.218723p,   650.800802p,   10.0000000m,   15.3656848M
    212,   55.5960299k,  -128.284487p,  -777.000020p,   648.715533p,   10.0000000m,   15.4150772M
    213,   55.5964829k,  -148.218562p,  -776.718745p,   628.500183p,   10.0000000m,   15.9108943M
    214,   55.5969264k,  -117.951080p,  -767.031272p,   649.080192p,   10.0000000m,   15.4064168M
    215,   55.5973719k,  -145.204233p,  -799.718736p,   654.514503p,   10.0000000m,   15.2785003M
    216,   55.5978089k,  -120.312908p,  -769.281250p,   648.968341p,   10.0000000m,   15.4090722M
    217,   55.5982609k,  -118.806127p,  -773.031250p,   654.225123p,   10.0000000m,   15.2852583M
    218,   55.5986979k,  -114.926816p,  -771.906261p,   656.979445p,   10.0000000m,   15.2211764M
    219,   55.5991493k,  -117.833713p,  -764.937502p,   647.103789p,   10.0000000m,   15.4534716M
    220,   55.5996029k,  -122.007446p,  -774.031228p,   652.023782p,   10.0000000m,   15.3368639M
    221,   55.6000468k,  -136.580800p,  -784.531273p,   647.950474p,   10.0000000m,   15.4332783M
    222,   55.6004919k,  -119.068872p,  -766.593733p,   647.524861p,   10.0000000m,   15.4434225M
    223,   55.6009289k,  -120.156573p,  -763.031249p,   642.874676p,   10.0000000m,   15.5551313M
    224,   55.6013809k,  -128.019952p,  -790.343735p,   662.323783p,   10.0000000m,   15.0983556M
    225,   55.6018178k,  -114.065840p,  -768.031250p,   653.965410p,   10.0000000m,   15.2913286M
    226,   55.6022699k,  -133.412844p,  -779.281251p,   645.868407p,   10.0000000m,   15.4830301M
    227,   55.6027229k,  -113.325910p,  -765.656261p,   652.330351p,   10.0000000m,   15.3296562M
    228,   55.6031672k,  -112.423664p,  -756.312513p,   643.888849p,   10.0000000m,   15.5306308M
    229,   55.6036119k,  -126.640369p,  -765.874975p,   639.234606p,   10.0000000m,   15.6437088M
    230,   55.6040489k,  -121.968051p,  -773.531239p,   651.563188p,   10.0000000m,   15.3477056M
    231,   55.6045009k,  -159.172982p,  -820.156276p,   660.983294p,   10.0000000m,   15.1289754M
    232,   55.6049379k,  -121.410731p,  -771.624986p,   650.214255p,   10.0000000m,   15.3795459M
    233,   55.6053909k,  -124.552327p,  -780.437492p,   655.885165p,   10.0000000m,   15.2465714M
    234,   55.6058429k,  -113.903387p,  -756.062490p,   642.159103p,   10.0000000m,   15.5724647M
    235,   55.6062867k,  -122.956294p,  -765.625008p,   642.668714p,   10.0000000m,   15.5601164M
    236,   55.6067319k,  -121.239554p,  -768.031250p,   646.791695p,   10.0000000m,   15.4609283M
    237,   55.6071689k,  -121.297692p,  -774.031228p,   652.733536p,   10.0000000m,   15.3201873M
    238,   55.6076209k,  -116.206226p,  -781.531229p,   665.325003p,   10.0000000m,   15.0302483M
    239,   55.6080578k,  -117.204283p,  -773.250020p,   656.045736p,   10.0000000m,   15.2428397M
    240,   55.6085109k,  -122.172709p,  -767.468755p,   645.296046p,   10.0000000m,   15.4967632M
    241,   55.6089629k,  -115.767516p,  -768.687503p,   652.919987p,   10.0000000m,   15.3158124M
    242,   55.6094071k,  -115.672028p,  -770.593755p,   654.921727p,   10.0000000m,   15.2690002M
    243,   55.6098519k,  -121.768589p,  -761.062491p,   639.293901p,   10.0000000m,   15.6422578M
    244,   55.6102889k,  -117.901768p,  -777.281239p,   659.379471p,   10.0000000m,   15.1657739M
    245,   55.6107409k,  -124.507735p,  -778.593745p,   654.086010p,   10.0000000m,   15.2885092M
    246,   55.6111779k,  -124.276155p,  -780.062515p,   655.786360p,   10.0000000m,   15.2488686M
    247,   55.6116309k,  -127.213536p,  -762.249985p,   635.036450p,   10.0000000m,   15.7471276M
    248,   55.6120823k,  -130.673374p,  -782.687526p,   652.014152p,   10.0000000m,   15.3370904M
    249,   55.6125265k,  -115.850872p,  -762.906238p,   647.055366p,   10.0000000m,   15.4546280M
    250,   55.6129719k,  -117.136126p,  -766.843755p,   649.707629p,   10.0000000m,   15.3915385M
    251,   55.6134089k,  -121.216142p,  -770.062514p,   648.846371p,   10.0000000m,   15.4119688M
    252,   55.6138609k,  -119.983233p,  -772.406250p,   652.423017p,   10.0000000m,   15.3274789M
    253,   55.6142978k,  -116.429014p,  -776.250009p,   659.820995p,   10.0000000m,   15.1556257M
    254,   55.6147509k,  -125.289241p,  -760.062513p,   634.773272p,   10.0000000m,   15.7536564M
    255,   55.6152029k,  -121.261382p,  -775.031261p,   653.769880p,   10.0000000m,   15.2959020M
    256,   55.6156472k,  -124.566401p,  -782.437504p,   657.871102p,   10.0000000m,   15.2005461M
    257,   55.6160913k,  -126.633485p,  -766.281261p,   639.647776p,   10.0000000m,   15.6336040M
    258,   55.6165289k,  -125.210128p,  -771.781250p,   646.571122p,   10.0000000m,   15.4662026M
    259,   55.6169809k,  -128.080715p,  -777.093723p,   649.013008p,   10.0000000m,   15.4080117M
    260,   55.6174179k,  -123.295818p,  -766.187502p,   642.891684p,   10.0000000m,   15.5547198M
    261,   55.6178709k,  -131.316862p,  -775.843723p,   644.526861p,   10.0000000m,   15.5152572M
    262,   55.6183229k,  -126.928111p,  -780.000009p,   653.071898p,   10.0000000m,   15.3122497M
    263,   55.6187672k,  -121.590018p,  -779.781240p,   658.191222p,   10.0000000m,   15.1931531M
    264,   55.6192119k,  -136.771538p,  -777.281239p,   640.509702p,   10.0000000m,   15.6125660M
    265,   55.6196489k,  -130.165553p,  -783.562493p,   653.396939p,   10.0000000m,   15.3046324M
    266,   55.6201003k,  -134.296347p,  -790.249977p,   655.953630p,   10.0000000m,   15.2449800M
    267,   55.6205379k,  -131.143658p,  -794.375010p,   663.231353p,   10.0000000m,   15.0776949M
    268,   55.6209909k,  -140.839848p,  -804.500022p,   663.660174p,   10.0000000m,   15.0679525M
    269,   55.6214429k,  -123.468375p,  -767.281239p,   643.812864p,   10.0000000m,   15.5324638M
    270,   55.6218865k,  -151.086201p,  -815.468748p,   664.382547p,   10.0000000m,   15.0515694M
    271,   55.6223319k,  -142.907733p,  -823.499990p,   680.592258p,   10.0000000m,   14.6930852M
    272,   55.6227689k,  -126.900712p,  -799.656230p,   672.755518p,   10.0000000m,   14.8642408M
    273,   55.6232209k,  -134.012336p,  -783.281273p,   649.268937p,   10.0000000m,   15.4019381M
    274,   55.6236579k,  -144.077835p,  -780.437492p,   636.359657p,   10.0000000m,   15.7143840M
    275,   55.6241103k,  -129.193787p,  -797.468758p,   668.274970p,   10.0000000m,   14.9639003M
    276,   55.6245469k,  -133.819179p,  -789.468768p,   655.649589p,   10.0000000m,   15.2520495M
    277,   55.6249839k,  -130.371541p,  -771.437525p,   641.065984p,   10.0000000m,   15.5990183M
    278,   55.6254209k,  -134.435489p,  -787.281240p,   652.845751p,   10.0000000m,   15.3175539M
    279,   55.6258579k,  -137.774911p,  -778.218767p,   640.443856p,   10.0000000m,   15.6141712M
    280,   55.6262949k,  -127.080084p,  -777.000020p,   649.919936p,   10.0000000m,   15.3865106M
    281,   55.6267309k,  -125.710094p,  -789.343757p,   663.633663p,   10.0000000m,   15.0685545M
    282,   55.6271672k,  -137.499472p,  -792.249988p,   654.750516p,   10.0000000m,   15.2729929M
    283,   55.6276049k,  -133.029955p,  -775.374986p,   642.345031p,   10.0000000m,   15.5679573M
    284,   55.6280419k,  -129.193702p,  -781.406273p,   652.212571p,   10.0000000m,   15.3324245M
    285,   55.6284789k,  -129.859136p,  -797.874988p,   668.015852p,   10.0000000m,   14.9697046M
    286,   55.6289149k,  -127.120075p,  -772.031272p,   644.911197p,   10.0000000m,   15.5060108M
    287,   55.6293519k,  -140.265676p,  -794.968757p,   654.703081p,   10.0000000m,   15.2740995M
    288,   55.6297889k,  -164.919234p,  -792.406252p,   627.487018p,   10.0000000m,   15.9365847M
    289,   55.6302259k,  -130.961235p,  -776.781250p,   645.820015p,   10.0000000m,   15.4841903M
    290,   55.6306629k,  -135.249864p,  -788.781263p,   653.531399p,   10.0000000m,   15.3014836M
    291,   55.6310982k,  -137.974220p,  -780.249976p,   642.275756p,   10.0000000m,   15.5696364M
    292,   55.6315359k,  -139.214098p,  -790.593757p,   651.379659p,   10.0000000m,   15.3520299M
    293,   55.6319729k,  -158.377692p,  -804.937506p,   646.559813p,   10.0000000m,   15.4664732M
    294,   55.6324099k,  -126.525848p,  -764.906249p,   638.380401p,   10.0000000m,   15.6646413M
    295,   55.6328619k,  -148.798170p,  -788.999976p,   640.201806p,   10.0000000m,   15.6200746M
    296,   55.6333064k,  -135.679679p,  -786.812504p,   651.132825p,   10.0000000m,   15.3578496M
    297,   55.6337509k,  -133.611999p,  -793.374977p,   659.762978p,   10.0000000m,   15.1569584M
    298,   55.6341879k,  -140.340956p,  -798.343724p,   658.002769p,   10.0000000m,   15.1975044M
    299,   55.6346249k,  -129.961525p,  -782.281240p,   652.319715p,   10.0000000m,   15.3299061M
    300,   55.6350619k,  -134.696582p,  -779.312503p,   644.615922p,   10.0000000m,   15.5131136M
    301,   55.6354989k,  -134.891426p,  -795.437494p,   660.546068p,   10.0000000m,   15.1389895M
    302,   55.6359509k,  -125.479024p,  -770.531250p,   645.052226p,   10.0000000m,   15.5026207M
    303,   55.6363879k,  -134.913202p,  -773.687503p,   638.774301p,   10.0000000m,   15.6549817M
    304,   55.6368399k,  -164.153882p,  -1.02400000n,   859.846114p,   10.0000000m,   11.6299880M
    305,   55.6372928k,  -161.758196p,  -805.562506p,   643.804310p,   10.0000000m,   15.5326702M
    306,   55.6377364k,  -128.646571p,  -763.156260p,   634.509689p,   10.0000000m,   15.7602006M
    307,   55.6381819k,  -176.093392p,  -1.02400000n,   847.906604p,   10.0000000m,   11.7937518M
    308,   55.6386189k,  -226.167615p,  -801.031241p,   574.863626p,   10.0000000m,   17.3954300M
    309,   55.6390709k,  -191.945849p,  -1.02400000n,   832.054147p,   10.0000000m,   12.0184486M
    310,   55.6395079k,  -134.487203p,  -780.531251p,   646.044047p,   10.0000000m,   15.4788207M
    311,   55.6399599k,  -130.272236p,  -780.625009p,   650.352773p,   10.0000000m,   15.3762703M
    312,   55.6404129k,  -123.336695p,  -764.343755p,   641.007060p,   10.0000000m,   15.6004522M
    313,   55.6408565k,  -130.707452p,  -763.468733p,   632.761280p,   10.0000000m,   15.8037483M
    314,   55.6413019k,  -125.739981p,  -777.374998p,   651.635017p,   10.0000000m,   15.3460139M
    315,   55.6417389k,  -127.358250p,  -769.093733p,   641.735483p,   10.0000000m,   15.5827444M
    316,   55.6421909k,  -115.906522p,  -757.906238p,   641.999715p,   10.0000000m,   15.5763309M
    317,   55.6426279k,  -125.012250p,  -777.312492p,   652.300242p,   10.0000000m,   15.3303638M
    318,   55.6430799k,  -127.996541p,  -773.718756p,   645.722215p,   10.0000000m,   15.4865355M
    319,   55.6435329k,  -124.051253p,  -777.343745p,   653.292491p,   10.0000000m,   15.3070793M
    320,   55.6439769k,  -136.054577p,  -766.781250p,   630.726673p,   10.0000000m,   15.8547283M
    321,   55.6444219k,  -133.337479p,  -787.562515p,   654.225036p,   10.0000000m,   15.2852604M
    322,   55.6448589k,  -126.393147p,  -790.125021p,   663.731874p,   10.0000000m,   15.0663248M
    323,   55.6453109k,  -146.153660p,  -785.406240p,   639.252580p,   10.0000000m,   15.6432689M
    324,   55.6457479k,  -131.554764p,  -778.906273p,   647.351509p,   10.0000000m,   15.4475580M
    325,   55.6461999k,  -156.157630p,  -788.562493p,   632.404863p,   10.0000000m,   15.8126551M
    326,   55.6466529k,  -132.163526p,  -777.218734p,   645.055208p,   10.0000000m,   15.5025490M
    327,   55.6470961k,  -137.216705p,  -778.250020p,   641.033315p,   10.0000000m,   15.5998133M
    328,   55.6475419k,  -125.572672p,  -774.187492p,   648.614820p,   10.0000000m,   15.4174707M
    329,   55.6479789k,  -136.095641p,  -784.437515p,   648.341874p,   10.0000000m,   15.4239613M
    330,   55.6484309k,  -135.127794p,  -790.781274p,   655.653480p,   10.0000000m,   15.2519590M
    331,   55.6488679k,  -145.143539p,  -789.968757p,   644.825218p,   10.0000000m,   15.5080783M
    332,   55.6493199k,  -138.425317p,  -779.375009p,   640.949692p,   10.0000000m,   15.6018485M
    333,   55.6497729k,  -139.269237p,  -784.562526p,   645.293289p,   10.0000000m,   15.4968294M
    334,   55.6502162k,  -139.745025p,  -792.031274p,   652.286249p,   10.0000000m,   15.3306926M
    335,   55.6506619k,  -138.941556p,  -815.750023p,   676.808467p,   10.0000000m,   14.7752289M
    336,   55.6510983k,  -136.178452p,  -773.437481p,   637.259028p,   10.0000000m,   15.6922061M
    337,   55.6515509k,  -134.588144p,  -781.593734p,   647.005590p,   10.0000000m,   15.4558170M
    338,   55.6519879k,  -137.201676p,  -776.437525p,   639.235849p,   10.0000000m,   15.6436783M
    339,   55.6524399k,  -134.040809p,  -769.874997p,   635.834188p,   10.0000000m,   15.7273707M
    340,   55.6528929k,  -147.706669p,  -782.937493p,   635.230823p,   10.0000000m,   15.7423091M
    341,   55.6533369k,  -141.573729p,  -781.875009p,   640.301280p,   10.0000000m,   15.6176480M
    342,   55.6537819k,  -134.810489p,  -783.218768p,   648.408278p,   10.0000000m,   15.4223818M
    343,   55.6542189k,  -139.400848p,  -772.374997p,   632.974149p,   10.0000000m,   15.7984335M
    344,   55.6546709k,  -132.007378p,  -787.000021p,   654.992643p,   10.0000000m,   15.2673471M
    345,   55.6551073k,  -134.250494p,  -779.624976p,   645.374482p,   10.0000000m,   15.4948798M
    346,   55.6555599k,  -130.295716p,  -787.812482p,   657.516766p,   10.0000000m,   15.2087377M
    347,   55.6560129k,  -131.317390p,  -799.031230p,   667.713840p,   10.0000000m,   14.9764756M
    348,   55.6564565k,  -138.815619p,  -782.468756p,   643.653138p,   10.0000000m,   15.5363183M
    349,   55.6569019k,  -128.754362p,  -766.156250p,   637.401888p,   10.0000000m,   15.6886890M
    350,   55.6573389k,  -121.930019p,  -761.749996p,   639.819977p,   10.0000000m,   15.6293963M
    351,   55.6577909k,  -135.293774p,  -781.218756p,   645.924983p,   10.0000000m,   15.4816740M
    352,   55.6582278k,  -141.379090p,  -787.906240p,   646.527151p,   10.0000000m,   15.4672545M
    353,   55.6586798k,  -127.431502p,  -774.124986p,   646.693484p,   10.0000000m,   15.4632763M
    354,   55.6591323k,  -132.470743p,  -765.031261p,   632.560517p,   10.0000000m,   15.8087641M
    355,   55.6595762k,  -135.650082p,  -786.687493p,   651.037411p,   10.0000000m,   15.3601004M
    356,   55.6600219k,  -147.568140p,  -817.531265p,   669.963125p,   10.0000000m,   14.9261946M
    357,   55.6604589k,  -138.712480p,  -794.187494p,   655.475014p,   10.0000000m,   15.2561117M
    358,   55.6609109k,  -136.825774p,  -786.375021p,   649.549247p,   10.0000000m,   15.3952915M
    359,   55.6613479k,  -134.106001p,  -783.656251p,   649.550250p,   10.0000000m,   15.3952677M
    360,   55.6617999k,  -139.727304p,  -781.656240p,   641.928936p,   10.0000000m,   15.5780484M
    361,   55.6622529k,  -148.459174p,  -797.906241p,   649.447067p,   10.0000000m,   15.3977137M
    362,   55.6626969k,  -137.406625p,  -792.031274p,   654.624649p,   10.0000000m,   15.2759295M
    363,   55.6631413k,  -135.163049p,  -797.718724p,   662.555676p,   10.0000000m,   15.0930712M
    364,   55.6635789k,  -161.567782p,  -806.281264p,   644.713482p,   10.0000000m,   15.5107661M
    365,   55.6640309k,  -147.198712p,  -798.906274p,   651.707562p,   10.0000000m,   15.3443056M
    366,   55.6644678k,  -152.292360p,  -793.812516p,   641.520156p,   10.0000000m,   15.5879748M
    367,   55.6649199k,  -145.988413p,  -806.375022p,   660.386609p,   10.0000000m,   15.1426450M
    368,   55.6653729k,  -133.373075p,  -790.031263p,   656.658188p,   10.0000000m,   15.2286230M
    369,   55.6658166k,  -141.635956p,  -802.593769p,   660.957813p,   10.0000000m,   15.1295587M
    370,   55.6662619k,  -147.828670p,  -810.156275p,   662.327605p,   10.0000000m,   15.0982685M
    371,   55.6666989k,  -140.734120p,  -781.281262p,   640.547142p,   10.0000000m,   15.6116534M
    372,   55.6671503k,  -143.099152p,  -791.124999p,   648.025847p,   10.0000000m,   15.4314832M
    373,   55.6675879k,  -147.029836p,  -800.406241p,   653.376405p,   10.0000000m,   15.3051134M
    374,   55.6680409k,  -156.630912p,  -813.718759p,   657.087847p,   10.0000000m,   15.2186653M
    375,   55.6684929k,  -174.374762p,  -821.656243p,   647.281481p,   10.0000000m,   15.4492293M
    376,   55.6689367k,  -152.361539p,  -814.843748p,   662.482209p,   10.0000000m,   15.0947450M
    377,   55.6693819k,  -156.846613p,  -841.906267p,   685.059654p,   10.0000000m,   14.5972689M
    378,   55.6698189k,  -150.708731p,  -803.031253p,   652.322522p,   10.0000000m,   15.3298402M
    379,   55.6702709k,  -153.189033p,  -800.906230p,   647.717197p,   10.0000000m,   15.4388367M
    380,   55.6707078k,  -226.294319p,  -880.156226p,   653.861907p,   10.0000000m,   15.2937492M
    381,   55.6711602k,  -145.162913p,  -777.718723p,   632.555810p,   10.0000000m,   15.8088817M
    382,   55.6716129k,  -156.206260p,  -790.593757p,   634.387497p,   10.0000000m,   15.7632363M
    383,   55.6720568k,  -162.607279p,  -811.437473p,   648.830194p,   10.0000000m,   15.4123530M
    384,   55.6725019k,  -313.964217p,  -878.812523p,   564.848306p,   10.0000000m,   17.7038683M
    385,   55.6729389k,  -179.051135p,  -844.500025p,   665.448890p,   10.0000000m,   15.0274501M
    386,   55.6733909k,  -189.733472p,  -838.875025p,   649.141553p,   10.0000000m,   15.4049605M
    387,   55.6738279k,  -194.370059p,  -840.468750p,   646.098692p,   10.0000000m,   15.4775116M
    388,   55.6742809k,  -192.954914p,  -880.968742p,   688.013828p,   10.0000000m,   14.5345916M
    389,   55.6747329k,  -173.240986p,  -827.593771p,   654.352785p,   10.0000000m,   15.2822762M
    390,   55.6751773k,  -138.245297p,  -796.093746p,   657.848449p,   10.0000000m,   15.2010695M
