
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
     41,   52.5170059k,  -146.895464p,  -435.781244p,   288.885780p,   10.0000000m,   34.6157571M
     42,   52.5174578k,  -146.612528p,  -455.156246p,   308.543718p,   10.0000000m,   32.4103179M
     43,   52.5178949k,  -129.259865p,  -430.031261p,   300.771395p,   10.0000000m,   33.2478426M
     44,   52.5183479k,  -115.499080p,  -423.093754p,   307.594675p,   10.0000000m,   32.5103157M
     45,   52.5187999k,  -97.7351928p,  -412.906237p,   315.171044p,   10.0000000m,   31.7288031M
     46,   52.5192436k,  -85.8276821p,  -397.531258p,   311.703576p,   10.0000000m,   32.0817622M
     47,   52.5196887k,  -86.5027945p,  -392.343741p,   305.840946p,   10.0000000m,   32.6967338M
     48,   52.5201257k,  -75.2739232p,  -393.531263p,   318.257340p,   10.0000000m,   31.4211135M
     49,   52.5205772k,  -79.7465069p,  -402.531258p,   322.784751p,   10.0000000m,   30.9803978M
     50,   52.5210149k,  -79.9837274p,  -391.937510p,   311.953783p,   10.0000000m,   32.0560306M
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
      1,   52.5784070k,  -69.7188182p,  -688.156254p,   618.437436p,   10.0000000m,   16.1697844M
      2,   52.5788599k,  -67.0024025p,  -670.906275p,   603.903873p,   10.0000000m,   16.5589268M
      3,   52.5792969k,  -69.8598180p,  -672.968736p,   603.108918p,   10.0000000m,   16.5807530M
      4,   52.5797499k,  -67.5770516p,  -671.906253p,   604.329201p,   10.0000000m,   16.5472725M
      5,   52.5802019k,  -73.0399741p,  -670.843769p,   597.803795p,   10.0000000m,   16.7278965M
      6,   52.5806455k,  -67.5182661p,  -666.968758p,   599.450492p,   10.0000000m,   16.6819448M
      7,   52.5810909k,  -65.4445712p,  -653.968768p,   588.524197p,   10.0000000m,   16.9916548M
      8,   52.5815273k,  -65.4330868p,  -651.312504p,   585.879417p,   10.0000000m,   17.0683586M
      9,   52.5819799k,  -69.7946599p,  -649.437504p,   579.642844p,   10.0000000m,   17.2520029M
     10,   52.5824169k,  -66.0570643p,  -664.562516p,   598.505452p,   10.0000000m,   16.7082856M
     11,   52.5828699k,  -74.0120638p,  -673.406275p,   599.394211p,   10.0000000m,   16.6835111M
     12,   52.5833219k,  -76.0677821p,  -666.437516p,   590.369734p,   10.0000000m,   16.9385377M
     13,   52.5837664k,  -76.6584652p,  -656.968757p,   580.310292p,   10.0000000m,   17.2321603M
     14,   52.5842109k,  -78.0151820p,  -664.687527p,   586.672345p,   10.0000000m,   17.0452896M
     15,   52.5846479k,  -76.8729553p,  -656.656229p,   579.783274p,   10.0000000m,   17.2478242M
     16,   52.5850999k,  -81.4625648p,  -664.406252p,   582.943687p,   10.0000000m,   17.1543156M
     17,   52.5855363k,  -75.1088808p,  -659.531263p,   584.422382p,   10.0000000m,   17.1109121M
     18,   52.5859899k,  -69.5965785p,  -652.562504p,   582.965926p,   10.0000000m,   17.1536612M
     19,   52.5864418k,  -68.2363346p,  -645.468734p,   577.232399p,   10.0000000m,   17.3240449M
     20,   52.5868869k,  -77.0583424p,  -643.437525p,   566.379183p,   10.0000000m,   17.6560161M
     21,   52.5873309k,  -81.1370297p,  -662.781274p,   581.644245p,   10.0000000m,   17.1926398M
     22,   52.5877679k,  -81.5424278p,  -654.781229p,   573.238801p,   10.0000000m,   17.4447368M
     23,   52.5882209k,  -73.6444929p,  -643.218756p,   569.574263p,   10.0000000m,   17.5569731M
     24,   52.5886569k,  -78.0085197p,  -654.374999p,   576.366479p,   10.0000000m,   17.3500722M
     25,   52.5891099k,  -79.9661430p,  -659.281241p,   579.315098p,   10.0000000m,   17.2617631M
     26,   52.5895613k,  -77.4182457p,  -652.031262p,   574.613017p,   10.0000000m,   17.4030168M
     27,   52.5900059k,  -81.1070746p,  -649.687526p,   568.580451p,   10.0000000m,   17.5876606M
     28,   52.5904509k,  -78.0493627p,  -659.562516p,   581.513153p,   10.0000000m,   17.1965156M
     29,   52.5908879k,  -88.0289496p,  -644.468756p,   556.439807p,   10.0000000m,   17.9713958M
     30,   52.5913409k,  -101.030381p,  -684.343748p,   583.313367p,   10.0000000m,   17.1434439M
     31,   52.5917769k,  -111.311869p,  -681.968759p,   570.656890p,   10.0000000m,   17.5236647M
     32,   52.5922299k,  -112.310762p,  -676.093737p,   563.782975p,   10.0000000m,   17.7373217M
     33,   52.5926818k,  -109.091722p,  -683.312518p,   574.220795p,   10.0000000m,   17.4149040M
     34,   52.5931269k,  -108.812142p,  -671.749989p,   562.937847p,   10.0000000m,   17.7639504M
     35,   52.5935709k,  -111.487731p,  -666.812494p,   555.324763p,   10.0000000m,   18.0074808M
     36,   52.5940079k,  -104.770788p,  -666.468769p,   561.697981p,   10.0000000m,   17.8031617M
     37,   52.5944609k,  -109.582845p,  -681.500023p,   571.917178p,   10.0000000m,   17.4850492M
     38,   52.5948969k,  -108.200808p,  -671.656231p,   563.455423p,   10.0000000m,   17.7476329M
     39,   52.5953499k,  -116.166115p,  -674.375000p,   558.208885p,   10.0000000m,   17.9144408M
     40,   52.5958019k,  -127.763989p,  -702.343739p,   574.579750p,   10.0000000m,   17.4040244M
     41,   52.5962470k,  -121.211729p,  -681.781243p,   560.569513p,   10.0000000m,   17.8390008M
     42,   52.5966909k,  -120.452733p,  -675.343725p,   554.890993p,   10.0000000m,   18.0215576M
     43,   52.5971279k,  -111.961048p,  -670.468736p,   558.507688p,   10.0000000m,   17.9048565M
     44,   52.5975809k,  -105.939851p,  -697.187474p,   591.247623p,   10.0000000m,   16.9133872M
     45,   52.5980169k,  -114.602167p,  -668.687494p,   554.085327p,   10.0000000m,   18.0477618M
     46,   52.5984699k,  -113.257531p,  -673.187506p,   559.929975p,   10.0000000m,   17.8593761M
     47,   52.5989219k,  -134.054048p,  -705.843772p,   571.789724p,   10.0000000m,   17.4889467M
     48,   52.5993670k,  -126.258894p,  -686.656232p,   560.397338p,   10.0000000m,   17.8444816M
     49,   52.5998109k,  -129.370212p,  -698.531233p,   569.161021p,   10.0000000m,   17.5697204M
     50,   52.6002479k,  -125.907528p,  -691.437518p,   565.529991p,   10.0000000m,   17.6825282M
     51,   52.6007009k,  -128.695423p,  -693.781255p,   565.085832p,   10.0000000m,   17.6964267M
     52,   52.6011369k,  -134.884866p,  -711.031234p,   576.146368p,   10.0000000m,   17.3567006M
     53,   52.6015899k,  -128.942373p,  -687.406243p,   558.463870p,   10.0000000m,   17.9062613M
     54,   52.6020419k,  -124.478820p,  -676.406264p,   551.927445p,   10.0000000m,   18.1183235M
     55,   52.6024866k,  -123.038508p,  -678.187506p,   555.148998p,   10.0000000m,   18.0131821M
     56,   52.6029309k,  -116.149008p,  -668.687494p,   552.538486p,   10.0000000m,   18.0982868M
     57,   52.6033679k,  -115.829539p,  -672.874978p,   557.045439p,   10.0000000m,   17.9518569M
     58,   52.6038209k,  -117.062874p,  -663.531230p,   546.468355p,   10.0000000m,   18.2993213M
     59,   52.6042569k,  -119.267260p,  -665.562494p,   546.295234p,   10.0000000m,   18.3051204M
     60,   52.6047099k,  -120.538372p,  -659.781230p,   539.242858p,   10.0000000m,   18.5445201M
     61,   52.6051619k,  -112.048749p,  -670.374978p,   558.326229p,   10.0000000m,   17.9106757M
     62,   52.6056059k,  -114.637915p,  -670.031253p,   555.393337p,   10.0000000m,   18.0052574M
     63,   52.6060509k,  -121.924294p,  -661.531274p,   539.606980p,   10.0000000m,   18.5320064M
     64,   52.6064873k,  -133.847584p,  -663.937516p,   530.089932p,   10.0000000m,   18.8647235M
     65,   52.6069409k,  -110.797659p,  -640.374975p,   529.577317p,   10.0000000m,   18.8829840M
     66,   52.6073769k,  -112.041644p,  -637.125019p,   525.083376p,   10.0000000m,   19.0445946M
     67,   52.6078299k,  -109.989572p,  -650.406229p,   540.416657p,   10.0000000m,   18.5042409M
     68,   52.6082819k,  -105.805531p,  -644.406251p,   538.600720p,   10.0000000m,   18.5666295M
     69,   52.6087273k,  -106.910493p,  -635.656250p,   528.745757p,   10.0000000m,   18.9126813M
     70,   52.6091709k,  -101.325399p,  -631.375008p,   530.049609p,   10.0000000m,   18.8661586M
     71,   52.6096079k,  -96.5755862p,  -631.031227p,   534.455641p,   10.0000000m,   18.7106267M
     72,   52.6100609k,  -111.882020p,  -639.031272p,   527.149252p,   10.0000000m,   18.9699596M
     73,   52.6104963k,  -104.726690p,  -634.000019p,   529.273329p,   10.0000000m,   18.8938294M
     74,   52.6109499k,  -99.9417939p,  -634.312491p,   534.370698p,   10.0000000m,   18.7136010M
     75,   52.6114019k,  -93.2966876p,  -626.843744p,   533.547056p,   10.0000000m,   18.7424893M
     76,   52.6118473k,  -107.450211p,  -643.624987p,   536.174775p,   10.0000000m,   18.6506349M
     77,   52.6122909k,  -103.530194p,  -638.906261p,   535.376068p,   10.0000000m,   18.6784591M
     78,   52.6127279k,  -103.808598p,  -634.656272p,   530.847674p,   10.0000000m,   18.8377956M
     79,   52.6131809k,  -105.748586p,  -651.781240p,   546.032654p,   10.0000000m,   18.3139230M
