

GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 07-Mar-2019	 15:26:21.967
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.4496p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
     58	   55.636k	  -106.12p	  -660.50p	   554.38p	   10.000m	   18.038M
     59	   55.637k	  -53.438p	  -615.91p	   562.47p	   10.000m	   17.779M
     60	   55.637k	  -83.712p	  -657.28p	   573.57p	   10.000m	   17.435M
     61	   55.638k	  -56.543p	  -628.44p	   571.89p	   10.000m	   17.486M
     62	   55.638k	  -58.822p	  -624.97p	   566.15p	   10.000m	   17.663M
     63	   55.638k	  -63.069p	  -628.00p	   564.93p	   10.000m	   17.701M
     64	   55.639k	  -51.367p	  -620.78p	   569.41p	   10.000m	   17.562M
     65	   55.639k	  -60.616p	  -623.12p	   562.51p	   10.000m	   17.777M
     66	   55.640k	  -52.759p	  -624.63p	   571.87p	   10.000m	   17.487M
     67	   55.640k	  -60.325p	  -624.66p	   564.33p	   10.000m	   17.720M
     68	   55.641k	  -53.437p	  -633.06p	   579.63p	   10.000m	   17.253M
     69	   55.641k	  -50.820p	  -621.47p	   570.65p	   10.000m	   17.524M
     70	   55.642k	  -66.072p	  -618.50p	   552.43p	   10.000m	   18.102M
     71	   55.642k	  -55.936p	  -620.00p	   564.06p	   10.000m	   17.728M
     72	   55.642k	  -61.258p	  -635.94p	   574.68p	   10.000m	   17.401M
     73	   55.643k	  -67.316p	  -631.25p	   563.93p	   10.000m	   17.733M
     74	   55.643k	  -54.680p	  -633.72p	   579.04p	   10.000m	   17.270M
     75	   55.644k	  -55.065p	  -620.56p	   565.50p	   10.000m	   17.684M
     76	   55.644k	  -58.848p	  -626.38p	   567.53p	   10.000m	   17.620M
     77	   55.645k	  -54.544p	  -624.09p	   569.55p	   10.000m	   17.558M
     78	   55.645k	  -53.193p	  -612.28p	   559.09p	   10.000m	   17.886M
     79	   55.645k	  -51.731p	  -609.97p	   558.24p	   10.000m	   17.914M
     80	   55.646k	  -53.646p	  -621.94p	   568.29p	   10.000m	   17.597M
     81	   55.646k	  -53.092p	  -628.88p	   575.78p	   10.000m	   17.368M
     82	   55.647k	  -54.986p	  -616.75p	   561.76p	   10.000m	   17.801M
     83	   55.647k	  -54.124p	  -695.56p	   641.44p	   10.000m	   15.590M
     84	   55.648k	  -82.915p	  -631.87p	   548.96p	   10.000m	   18.216M
     85	   55.648k	  -59.800p	  -610.84p	   551.04p	   10.000m	   18.147M
     86	   55.649k	  -51.771p	  -623.62p	   571.85p	   10.000m	   17.487M
     87	   55.649k	  -53.199p	  -626.16p	   572.96p	   10.000m	   17.453M
     88	   55.649k	  -56.320p	  -623.94p	   567.62p	   10.000m	   17.617M
     89	   55.650k	  -52.284p	  -614.81p	   562.53p	   10.000m	   17.777M
     90	   55.650k	  -51.858p	  -629.91p	   578.05p	   10.000m	   17.300M
     91	   55.651k	  -55.790p	  -618.69p	   562.90p	   10.000m	   17.765M
     92	   55.651k	  -57.770p	  -623.53p	   565.76p	   10.000m	   17.675M
     93	   55.652k	  -74.257p	  -626.94p	   552.68p	   10.000m	   18.094M
     94	   55.652k	  -56.812p	  -621.78p	   564.97p	   10.000m	   17.700M
     95	   55.652k	  -60.788p	  -606.69p	   545.90p	   10.000m	   18.318M
     96	   55.653k	  -52.222p	  -576.47p	   524.25p	   10.000m	   19.075M
     97	   55.653k	  -54.367p	  -569.31p	   514.95p	   10.000m	   19.420M
     98	   55.654k	  -93.312p	  -572.88p	   479.56p	   10.000m	   20.852M
     99	   55.654k	  -56.539p	  -543.84p	   487.30p	   10.000m	   20.521M
    100	   55.655k	  -82.148p	  -561.63p	   479.48p	   10.000m	   20.856M
    101	   55.655k	  -54.263p	  -545.47p	   491.21p	   10.000m	   20.358M
    102	   55.656k	  -54.204p	  -559.37p	   505.17p	   10.000m	   19.795M
    103	   55.656k	  -54.396p	  -534.53p	   480.14p	   10.000m	   20.827M
    104	   55.656k	  -55.364p	  -549.72p	   494.36p	   10.000m	   20.228M
    105	   55.657k	  -61.521p	  -561.00p	   499.48p	   10.000m	   20.021M
    106	   55.657k	  -56.480p	  -538.84p	   482.36p	   10.000m	   20.731M
    107	   55.658k	  -58.619p	  -547.88p	   489.26p	   10.000m	   20.439M
    108	   55.658k	  -53.143p	  -519.13p	   465.98p	   10.000m	   21.460M
    109	   55.659k	  -58.932p	  -525.78p	   466.85p	   10.000m	   21.420M
    110	   55.659k	  -55.892p	  -539.72p	   483.83p	   10.000m	   20.669M
    111	   55.659k	  -57.174p	  -518.28p	   461.11p	   10.000m	   21.687M
    112	   55.660k	  -57.843p	  -516.78p	   458.94p	   10.000m	   21.789M
    113	   55.660k	  -55.620p	  -502.37p	   446.75p	   10.000m	   22.384M
    114	   55.661k	  -57.609p	  -494.41p	   436.80p	   10.000m	   22.894M
    115	   55.661k	  -56.882p	  -491.22p	   434.34p	   10.000m	   23.024M
    116	   55.662k	  -56.967p	  -497.97p	   441.00p	   10.000m	   22.676M
    117	   55.662k	  -58.081p	  -484.81p	   426.73p	   10.000m	   23.434M
    118	   55.663k	  -63.535p	  -490.31p	   426.78p	   10.000m	   23.431M
    119	   55.663k	  -57.878p	  -471.06p	   413.18p	   10.000m	   24.202M
    120	   55.663k	  -62.292p	  -476.09p	   413.80p	   10.000m	   24.166M
    121	   55.664k	  -58.245p	  -468.63p	   410.38p	   10.000m	   24.368M
    122	   55.664k	  -304.57p	  -604.12p	   299.56p	   10.000m	   33.383M
    123	   55.665k	  -68.523p	  -481.44p	   412.91p	   10.000m	   24.218M
    124	   55.665k	  -61.128p	  -473.06p	   411.93p	   10.000m	   24.276M
    125	   55.666k	  -62.397p	  -479.03p	   416.63p	   10.000m	   24.002M
