

GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 07-Mar-2019	 15:26:21.967
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.4496p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    301	   55.743k	  -72.351p	  -478.19p	   405.84p	   10.000m	   24.640M
    302	   55.743k	  -74.300p	  -477.16p	   402.86p	   10.000m	   24.823M
    303	   55.743k	  -71.401p	  -483.62p	   412.22p	   10.000m	   24.259M
    304	   55.744k	  -71.679p	  -476.12p	   404.45p	   10.000m	   24.725M
    305	   55.744k	  -73.722p	  -475.09p	   401.37p	   10.000m	   24.915M
    306	   55.745k	  -71.508p	  -481.09p	   409.59p	   10.000m	   24.415M
    307	   55.745k	  -71.819p	  -485.62p	   413.81p	   10.000m	   24.166M
    308	   55.746k	  -82.181p	  -505.19p	   423.01p	   10.000m	   23.640M
    309	   55.746k	  -68.924p	  -482.50p	   413.58p	   10.000m	   24.179M
    310	   55.747k	  -68.982p	  -474.66p	   405.67p	   10.000m	   24.650M
    311	   55.747k	  -70.611p	  -473.97p	   403.36p	   10.000m	   24.792M
    312	   55.747k	  -86.347p	  -487.13p	   400.78p	   10.000m	   24.951M
    313	   55.748k	  -77.085p	  -485.66p	   408.57p	   10.000m	   24.476M
    314	   55.748k	  -128.17p	  -508.44p	   380.27p	   10.000m	   26.297M
    315	   55.749k	  -85.647p	  -481.78p	   396.13p	   10.000m	   25.244M
    316	   55.749k	  -97.600p	  -490.94p	   393.34p	   10.000m	   25.423M
    317	   55.750k	  -70.866p	  -481.47p	   410.60p	   10.000m	   24.354M
    318	   55.750k	  -70.527p	  -487.22p	   416.69p	   10.000m	   23.999M
    319	   55.750k	  -67.824p	  -469.34p	   401.52p	   10.000m	   24.905M
    320	   55.751k	  -73.005p	  -480.25p	   407.24p	   10.000m	   24.555M
    321	   55.751k	  -145.41p	  -494.56p	   349.15p	   10.000m	   28.641M
    322	   55.752k	  -83.534p	  -490.72p	   407.18p	   10.000m	   24.559M
    323	   55.752k	  -74.473p	  -488.38p	   413.90p	   10.000m	   24.160M
    324	   55.753k	  -75.915p	  -485.34p	   409.43p	   10.000m	   24.424M
    325	   55.753k	  -69.235p	  -465.84p	   396.61p	   10.000m	   25.214M
    326	   55.754k	  -73.498p	  -485.03p	   411.53p	   10.000m	   24.299M
    327	   55.754k	  -81.420p	  -490.12p	   408.70p	   10.000m	   24.468M
    328	   55.754k	  -87.591p	  -478.97p	   391.38p	   10.000m	   25.551M
    329	   55.755k	  -70.614p	  -477.56p	   406.95p	   10.000m	   24.573M
    330	   55.755k	  -64.773p	  -476.09p	   411.32p	   10.000m	   24.312M
    331	   55.756k	  -72.304p	  -456.53p	   384.23p	   10.000m	   26.026M
    332	   55.756k	  -61.734p	  -476.31p	   414.58p	   10.000m	   24.121M
    333	   55.757k	  -65.422p	  -483.06p	   417.64p	   10.000m	   23.944M
    334	   55.757k	  -80.575p	  -471.16p	   390.58p	   10.000m	   25.603M
    335	   55.757k	  -65.253p	  -477.19p	   411.93p	   10.000m	   24.276M
    336	   55.758k	  -69.821p	  -486.09p	   416.27p	   10.000m	   24.023M
    337	   55.758k	  -66.325p	  -483.41p	   417.08p	   10.000m	   23.976M
    338	   55.759k	  -83.189p	  -477.91p	   394.72p	   10.000m	   25.335M
    339	   55.759k	  -73.286p	  -469.75p	   396.46p	   10.000m	   25.223M
    340	   55.760k	  -71.971p	  -482.88p	   410.90p	   10.000m	   24.337M
    341	   55.760k	  -157.94p	  -513.44p	   355.50p	   10.000m	   28.129M
    342	   55.761k	  -78.404p	  -482.34p	   403.94p	   10.000m	   24.756M
    343	   55.761k	  -69.258p	  -486.91p	   417.65p	   10.000m	   23.944M
    344	   55.761k	  -70.288p	  -477.69p	   407.40p	   10.000m	   24.546M
    345	   55.762k	  -73.708p	  -485.41p	   411.70p	   10.000m	   24.290M
    346	   55.762k	  -69.239p	  -488.16p	   418.92p	   10.000m	   23.871M
    347	   55.763k	  -68.210p	  -481.53p	   413.32p	   10.000m	   24.194M
    348	   55.763k	  -74.747p	  -473.56p	   398.82p	   10.000m	   25.074M
    349	   55.764k	  -73.417p	  -481.09p	   407.68p	   10.000m	   24.529M
    350	   55.764k	  -129.46p	  -577.09p	   447.63p	   10.000m	   22.340M
    351	   55.764k	  -81.103p	  -480.25p	   399.15p	   10.000m	   25.053M
    352	   55.765k	  -69.442p	  -470.72p	   401.28p	   10.000m	   24.920M
    353	   55.765k	  -67.336p	  -492.34p	   425.01p	   10.000m	   23.529M
    354	   55.766k	  -74.199p	  -486.91p	   412.71p	   10.000m	   24.230M
    355	   55.766k	  -73.564p	  -508.56p	   435.00p	   10.000m	   22.989M
    356	   55.767k	  -65.130p	  -471.31p	   406.18p	   10.000m	   24.619M
    357	   55.767k	  -56.987p	  -470.25p	   413.26p	   10.000m	   24.198M
    358	   55.768k	  -65.242p	  -481.44p	   416.20p	   10.000m	   24.027M
    359	   55.768k	  -61.660p	  -479.13p	   417.46p	   10.000m	   23.954M
    360	   55.768k	  -58.767p	  -480.88p	   422.11p	   10.000m	   23.691M
    361	   55.769k	  -57.930p	  -484.31p	   426.38p	   10.000m	   23.453M
    362	   55.769k	  -61.455p	  -473.75p	   412.30p	   10.000m	   24.254M
    363	   55.770k	  -57.650p	  -467.03p	   409.38p	   10.000m	   24.427M
    364	   55.770k	  -57.266p	  -470.69p	   413.42p	   10.000m	   24.188M
    365	   55.771k	  -54.569p	  -477.91p	   423.34p	   10.000m	   23.622M
    366	   55.771k	  -56.406p	  -467.41p	   411.00p	   10.000m	   24.331M
    367	   55.771k	  -66.872p	  -467.16p	   400.28p	   10.000m	   24.982M
    368	   55.772k	  -64.970p	  -485.91p	   420.94p	   10.000m	   23.757M
    369	   55.772k	  -60.727p	  -471.84p	   411.12p	   10.000m	   24.324M
    370	   55.773k	  -57.676p	  -466.94p	   409.26p	   10.000m	   24.434M
    371	   55.773k	  -70.319p	  -473.00p	   402.68p	   10.000m	   24.834M
    372	   55.774k	  -56.766p	  -477.66p	   420.89p	   10.000m	   23.759M
    373	   55.774k	  -59.733p	  -476.97p	   417.24p	   10.000m	   23.967M
    374	   55.775k	  -55.419p	  -473.78p	   418.36p	   10.000m	   23.903M
    375	   55.775k	  -60.980p	  -481.69p	   420.71p	   10.000m	   23.770M
    376	   55.775k	  -55.461p	  -482.44p	   426.98p	   10.000m	   23.420M
    377	   55.776k	  -57.040p	  -472.19p	   415.15p	   10.000m	   24.088M
    378	   55.776k	  -59.381p	  -469.78p	   410.40p	   10.000m	   24.366M
    379	   55.777k	  -57.707p	  -478.81p	   421.11p	   10.000m	   23.747M
    380	   55.777k	  -60.435p	  -475.03p	   414.60p	   10.000m	   24.120M
    381	   55.778k	  -64.961p	  -480.72p	   415.76p	   10.000m	   24.052M
    382	   55.778k	  -58.304p	  -479.22p	   420.92p	   10.000m	   23.758M
    383	   55.778k	  -63.541p	  -489.56p	   426.02p	   10.000m	   23.473M
    384	   55.779k	  -55.531p	  -477.03p	   421.50p	   10.000m	   23.725M
    385	   55.779k	  -53.926p	  -484.59p	   430.67p	   10.000m	   23.220M
    386	   55.780k	  -59.511p	  -485.03p	   425.52p	   10.000m	   23.501M
    387	   55.780k	  -70.274p	  -509.66p	   439.38p	   10.000m	   22.759M
    388	   55.781k	  -73.491p	  -501.34p	   427.85p	   10.000m	   23.373M
    389	   55.781k	  -55.466p	  -479.41p	   423.94p	   10.000m	   23.588M
    390	   55.782k	  -60.477p	  -496.28p	   435.80p	   10.000m	   22.946M
    391	   55.782k	  -58.602p	  -466.66p	   408.05p	   10.000m	   24.507M
    392	   55.782k	  -57.070p	  -489.91p	   432.84p	   10.000m	   23.103M
    393	   55.783k	  -57.983p	  -484.31p	   426.33p	   10.000m	   23.456M
    394	   55.783k	  -59.856p	  -492.37p	   432.52p	   10.000m	   23.120M
    395	   55.784k	  -65.705p	  -493.53p	   427.83p	   10.000m	   23.374M
    396	   55.784k	  -67.245p	  -494.66p	   427.41p	   10.000m	   23.397M
    397	   55.785k	  -65.553p	  -487.37p	   421.82p	   10.000m	   23.707M
    398	   55.785k	  -61.921p	  -479.72p	   417.80p	   10.000m	   23.935M
    399	   55.785k	  -60.434p	  -486.09p	   425.66p	   10.000m	   23.493M
    400	   55.786k	  -68.102p	  -477.47p	   409.37p	   10.000m	   24.428M
    401	   55.786k	  -63.730p	  -493.87p	   430.15p	   10.000m	   23.248M
    402	   55.787k	  -57.110p	  -469.78p	   412.67p	   10.000m	   24.232M
    403	   55.787k	  -61.856p	  -480.09p	   418.24p	   10.000m	   23.910M
    404	   55.788k	  -62.387p	  -467.41p	   405.02p	   10.000m	   24.690M
    405	   55.788k	  -60.435p	  -474.53p	   414.10p	   10.000m	   24.149M
    406	   55.789k	  -62.929p	  -475.69p	   412.76p	   10.000m	   24.227M
    407	   55.789k	  -58.143p	  -468.66p	   410.51p	   10.000m	   24.360M
    408	   55.789k	  -64.212p	  -473.56p	   409.35p	   10.000m	   24.429M
    409	   55.790k	  -63.778p	  -463.28p	   399.50p	   10.000m	   25.031M
    410	   55.790k	  -66.133p	  -473.44p	   407.30p	   10.000m	   24.552M
    411	   55.791k	  -67.716p	  -479.87p	   412.16p	   10.000m	   24.262M
    412	   55.791k	  -71.425p	  -473.03p	   401.61p	   10.000m	   24.900M
    413	   55.792k	  -59.629p	  -464.44p	   404.81p	   10.000m	   24.703M
    414	   55.792k	  -62.330p	  -473.16p	   410.83p	   10.000m	   24.341M
    415	   55.792k	  -62.852p	  -443.03p	   380.18p	   10.000m	   26.303M
    416	   55.793k	  -62.052p	  -468.00p	   405.95p	   10.000m	   24.634M
    417	   55.793k	  -66.837p	  -478.91p	   412.07p	   10.000m	   24.268M
    418	   55.794k	  -64.140p	  -475.88p	   411.73p	   10.000m	   24.287M
    419	   55.794k	  -72.385p	  -470.91p	   398.52p	   10.000m	   25.093M
    420	   55.795k	  -122.88p	  -906.94p	   784.06p	   10.000m	   12.754M
    421	   55.795k	  -71.220p	  -472.72p	   401.50p	   10.000m	   24.907M
    422	   55.796k	  -67.925p	  -475.41p	   407.48p	   10.000m	   24.541M
    423	   55.796k	  -65.887p	  -464.44p	   398.55p	   10.000m	   25.091M
    424	   55.796k	  -63.442p	  -474.78p	   411.34p	   10.000m	   24.311M
    425	   55.797k	  -62.030p	  -462.94p	   400.91p	   10.000m	   24.943M
    426	   55.797k	  -133.79p	  -480.19p	   346.39p	   10.000m	   28.869M
    427	   55.798k	  -64.422p	  -455.97p	   391.55p	   10.000m	   25.540M
    428	   55.798k	  -58.841p	  -469.69p	   410.85p	   10.000m	   24.340M
    429	   55.799k	  -60.555p	  -477.75p	   417.19p	   10.000m	   23.970M
    430	   55.799k	  -59.830p	  -467.16p	   407.33p	   10.000m	   24.550M
    431	   55.799k	  -64.726p	  -471.63p	   406.90p	   10.000m	   24.576M
    432	   55.800k	  -57.563p	  -469.59p	   412.03p	   10.000m	   24.270M
    433	   55.800k	  -59.635p	  -466.47p	   406.83p	   10.000m	   24.580M
    434	   55.801k	  -61.559p	  -449.34p	   387.79p	   10.000m	   25.787M
    435	   55.801k	  -57.569p	  -451.19p	   393.62p	   10.000m	   25.405M
    436	   55.802k	  -56.612p	  -460.41p	   403.79p	   10.000m	   24.765M
    437	   55.802k	  -65.886p	  -452.13p	   386.24p	   10.000m	   25.891M
    438	   55.803k	  -62.635p	  -458.38p	   395.74p	   10.000m	   25.269M
    439	   55.803k	  -60.574p	  -451.00p	   390.43p	   10.000m	   25.613M
    440	   55.803k	  -72.930p	  -459.31p	   386.38p	   10.000m	   25.881M
    441	   55.804k	  -60.304p	  -452.69p	   392.38p	   10.000m	   25.485M
    442	   55.804k	  -68.805p	  -456.97p	   388.16p	   10.000m	   25.762M
    443	   55.805k	  -61.568p	  -454.03p	   392.46p	   10.000m	   25.480M
    444	   55.805k	  -62.795p	  -448.47p	   385.67p	   10.000m	   25.929M
    445	   55.806k	  -61.717p	  -457.09p	   395.38p	   10.000m	   25.292M
    446	   55.806k	  -59.608p	  -452.59p	   392.99p	   10.000m	   25.446M
    447	   55.806k	  -54.733p	  -462.37p	   407.64p	   10.000m	   24.531M
    448	   55.807k	  -62.920p	  -451.06p	   388.14p	   10.000m	   25.764M
    449	   55.807k	  -83.162p	  -490.09p	   406.93p	   10.000m	   24.574M
    450	   55.808k	  -56.658p	  -430.22p	   373.56p	   10.000m	   26.769M
    451	   55.808k	  -56.917p	  -446.91p	   389.99p	   10.000m	   25.642M
    452	   55.809k	  -59.492p	  -447.37p	   387.88p	   10.000m	   25.781M
    453	   55.809k	  -53.312p	  -457.81p	   404.50p	   10.000m	   24.722M
    454	   55.810k	  -61.741p	  -451.59p	   389.85p	   10.000m	   25.651M
    455	   55.810k	  -63.043p	  -465.66p	   402.61p	   10.000m	   24.838M
    456	   55.810k	  -58.249p	  -457.81p	   399.56p	   10.000m	   25.027M
    457	   55.811k	  -52.071p	  -461.44p	   409.37p	   10.000m	   24.428M
    458	   55.811k	  -62.630p	  -464.81p	   402.18p	   10.000m	   24.864M
    459	   55.812k	  -51.827p	  -444.41p	   392.58p	   10.000m	   25.473M
    460	   55.812k	  -55.847p	  -450.66p	   394.81p	   10.000m	   25.329M
    461	   55.813k	  -58.558p	  -453.44p	   394.88p	   10.000m	   25.324M
    462	   55.813k	  -60.718p	  -455.81p	   395.09p	   10.000m	   25.310M
    463	   55.813k	  -60.666p	  -457.72p	   397.05p	   10.000m	   25.186M
    464	   55.814k	  -58.926p	  -461.88p	   402.95p	   10.000m	   24.817M
    465	   55.814k	  -60.710p	  -452.37p	   391.67p	   10.000m	   25.532M
    466	   55.815k	  -60.077p	  -449.69p	   389.61p	   10.000m	   25.667M
    467	   55.815k	  -58.339p	  -444.91p	   386.57p	   10.000m	   25.869M
    468	   55.816k	  -59.681p	  -450.22p	   390.54p	   10.000m	   25.606M
    469	   55.816k	  -55.417p	  -445.12p	   389.71p	   10.000m	   25.660M
    470	   55.817k	  -64.234p	  -453.47p	   389.23p	   10.000m	   25.691M
    471	   55.817k	  -55.908p	  -461.22p	   405.31p	   10.000m	   24.672M
    472	   55.817k	  -56.333p	  -447.37p	   391.04p	   10.000m	   25.573M
    473	   55.818k	  -55.813p	  -450.88p	   395.06p	   10.000m	   25.312M
    474	   55.818k	  -58.116p	  -444.12p	   386.01p	   10.000m	   25.906M
    475	   55.819k	  -58.625p	  -446.47p	   387.84p	   10.000m	   25.784M
    476	   55.819k	  -57.210p	  -447.69p	   390.48p	   10.000m	   25.610M
    477	   55.820k	  -55.837p	  -445.41p	   389.57p	   10.000m	   25.669M
    478	   55.820k	  -56.648p	  -445.03p	   388.38p	   10.000m	   25.748M
    479	   55.820k	  -61.363p	  -456.44p	   395.07p	   10.000m	   25.312M
    480	   55.821k	  -57.961p	  -448.47p	   390.51p	   10.000m	   25.608M
    481	   55.821k	  -54.740p	  -447.53p	   392.79p	   10.000m	   25.459M
    482	   55.822k	  -53.908p	  -443.22p	   389.31p	   10.000m	   25.686M
    483	   55.822k	  -57.848p	  -446.09p	   388.25p	   10.000m	   25.757M
    484	   55.823k	  -60.384p	  -444.69p	   384.30p	   10.000m	   26.021M
    485	   55.823k	  -66.023p	  -453.72p	   387.70p	   10.000m	   25.793M
    486	   55.824k	  -53.860p	  -441.06p	   387.20p	   10.000m	   25.826M
    487	   55.824k	  -60.596p	  -442.78p	   382.19p	   10.000m	   26.165M
    488	   55.824k	  -59.083p	  -448.47p	   389.39p	   10.000m	   25.681M
    489	   55.825k	  -55.647p	  -452.84p	   397.20p	   10.000m	   25.176M
    490	   55.825k	  -89.493p	  -452.62p	   363.13p	   10.000m	   27.538M
    491	   55.826k	  -55.690p	  -451.66p	   395.97p	   10.000m	   25.255M
    492	   55.826k	  -65.715p	  -449.56p	   383.85p	   10.000m	   26.052M
    493	   55.827k	  -66.124p	  -452.13p	   386.00p	   10.000m	   25.907M
    494	   55.827k	  -61.788p	  -445.44p	   383.65p	   10.000m	   26.065M
    495	   55.827k	  -61.486p	  -451.50p	   390.01p	   10.000m	   25.640M
    496	   55.828k	  -58.883p	  -445.97p	   387.09p	   10.000m	   25.834M
    497	   55.828k	  -61.454p	  -442.41p	   380.95p	   10.000m	   26.250M
    498	   55.829k	  -65.585p	  -456.44p	   390.85p	   10.000m	   25.585M
    499	   55.829k	  -55.749p	  -436.28p	   380.53p	   10.000m	   26.279M
    500	   55.830k	  -61.040p	  -454.87p	   393.83p	   10.000m	   25.391M
    501	   55.830k	  -60.929p	  -455.03p	   394.10p	   10.000m	   25.374M
    502	   55.831k	  -66.087p	  -461.00p	   394.91p	   10.000m	   25.322M
    503	   55.831k	  -79.400p	  -477.94p	   398.54p	   10.000m	   25.092M
    504	   55.831k	  -63.115p	  -448.56p	   385.45p	   10.000m	   25.944M
    505	   55.832k	  -66.674p	  -451.88p	   385.20p	   10.000m	   25.960M
    506	   55.832k	  -204.17p	  -474.44p	   270.27p	   10.000m	   37.000M
    507	   55.833k	  -65.215p	  -454.91p	   389.69p	   10.000m	   25.661M
    508	   55.833k	  -62.858p	  -456.50p	   393.64p	   10.000m	   25.404M
    509	   55.834k	  -110.40p	  -459.19p	   348.79p	   10.000m	   28.671M
    510	   55.834k	  -69.535p	  -449.84p	   380.31p	   10.000m	   26.294M
    511	   55.834k	  -64.958p	  -463.87p	   398.92p	   10.000m	   25.068M
    512	   55.835k	  -119.75p	  -541.53p	   421.78p	   10.000m	   23.709M
    513	   55.835k	  -61.266p	  -452.28p	   391.02p	   10.000m	   25.574M
    514	   55.836k	  -64.192p	  -441.91p	   377.71p	   10.000m	   26.475M
    515	   55.836k	  -58.960p	  -438.97p	   380.01p	   10.000m	   26.315M
    516	   55.837k	  -61.587p	  -456.56p	   394.98p	   10.000m	   25.318M
    517	   55.837k	  -67.448p	  -445.28p	   377.83p	   10.000m	   26.467M
    518	   55.838k	  -64.076p	  -439.66p	   375.58p	   10.000m	   26.625M
    519	   55.838k	  -60.903p	  -444.25p	   383.35p	   10.000m	   26.086M
    520	   55.838k	  -56.900p	  -439.84p	   382.94p	   10.000m	   26.113M
    521	   55.839k	  -65.486p	  -454.72p	   389.23p	   10.000m	   25.692M
    522	   55.839k	  -59.991p	  -444.22p	   384.23p	   10.000m	   26.026M
    523	   55.840k	  -59.487p	  -448.47p	   388.98p	   10.000m	   25.708M
    524	   55.840k	  -56.945p	  -450.28p	   393.34p	   10.000m	   25.424M
    525	   55.841k	  -58.111p	  -441.16p	   383.05p	   10.000m	   26.107M
    526	   55.841k	  -55.347p	  -449.00p	   393.65p	   10.000m	   25.403M
    527	   55.841k	  -63.860p	  -441.62p	   377.76p	   10.000m	   26.471M
    528	   55.842k	  -61.000p	  -449.09p	   388.09p	   10.000m	   25.767M
    529	   55.842k	  -239.06p	  -475.59p	   236.54p	   10.000m	   42.277M
    530	   55.843k	  -62.406p	  -452.59p	   390.19p	   10.000m	   25.629M
    531	   55.843k	  -63.559p	  -441.09p	   377.53p	   10.000m	   26.488M
    532	   55.844k	  -60.620p	  -450.94p	   390.32p	   10.000m	   25.620M
    533	   55.844k	  -56.348p	  -446.44p	   390.09p	   10.000m	   25.635M
    534	   55.845k	  -65.462p	  -452.84p	   387.38p	   10.000m	   25.814M
    535	   55.845k	  -56.819p	  -442.69p	   385.87p	   10.000m	   25.916M
    536	   55.845k	  -66.025p	  -448.41p	   382.38p	   10.000m	   26.152M
    537	   55.846k	  -62.235p	  -447.37p	   385.14p	   10.000m	   25.965M
    538	   55.846k	  -57.320p	  -439.00p	   381.68p	   10.000m	   26.200M
    539	   55.847k	  -66.001p	  -447.66p	   381.66p	   10.000m	   26.202M
    540	   55.847k	  -75.564p	  -454.56p	   379.00p	   10.000m	   26.385M
    541	   55.848k	  -65.462p	  -449.97p	   384.51p	   10.000m	   26.007M
    542	   55.848k	  -61.022p	  -448.87p	   387.85p	   10.000m	   25.783M
    543	   55.848k	  -70.960p	  -448.31p	   377.35p	   10.000m	   26.500M
    544	   55.849k	  -108.36p	  -457.06p	   348.71p	   10.000m	   28.677M
    545	   55.849k	  -58.589p	  -432.97p	   374.38p	   10.000m	   26.711M
    546	   55.850k	  -58.780p	  -448.75p	   389.97p	   10.000m	   25.643M
    547	   55.850k	  -60.800p	  -448.69p	   387.89p	   10.000m	   25.781M
    548	   55.851k	  -59.823p	  -448.22p	   388.40p	   10.000m	   25.747M
    549	   55.851k	  -59.339p	  -434.31p	   374.97p	   10.000m	   26.669M
    550	   55.852k	  -59.172p	  -453.50p	   394.33p	   10.000m	   25.360M
    551	   55.852k	  -60.025p	  -442.28p	   382.26p	   10.000m	   26.160M
    552	   55.852k	  -62.636p	  -441.06p	   378.43p	   10.000m	   26.425M
    553	   55.853k	  -66.155p	  -447.22p	   381.06p	   10.000m	   26.242M
    554	   55.853k	  -62.501p	  -440.81p	   378.31p	   10.000m	   26.433M
    555	   55.854k	  -62.113p	  -441.00p	   378.89p	   10.000m	   26.393M
    556	   55.854k	  -59.660p	  -434.16p	   374.50p	   10.000m	   26.703M
    557	   55.855k	  -52.228p	  -433.97p	   381.74p	   10.000m	   26.196M
    558	   55.855k	  -59.044p	  -429.22p	   370.17p	   10.000m	   27.014M
    559	   55.855k	  -135.80p	  -438.75p	   302.95p	   10.000m	   33.009M
    560	   55.856k	  -62.028p	  -442.81p	   380.78p	   10.000m	   26.262M
    561	   55.856k	  -65.180p	  -440.81p	   375.63p	   10.000m	   26.622M
    562	   55.857k	  -62.689p	  -444.97p	   382.28p	   10.000m	   26.159M
    563	   55.857k	  -64.259p	  -441.25p	   376.99p	   10.000m	   26.526M
    564	   55.858k	  -64.751p	  -430.53p	   365.78p	   10.000m	   27.339M
    565	   55.858k	  -63.818p	  -439.44p	   375.62p	   10.000m	   26.623M
    566	   55.859k	  -61.044p	  -454.06p	   393.02p	   10.000m	   25.444M
    567	   55.859k	  -61.580p	  -430.88p	   369.30p	   10.000m	   27.079M
    568	   55.859k	  -65.312p	  -435.28p	   369.97p	   10.000m	   27.029M
    569	   55.860k	  -59.038p	  -423.75p	   364.71p	   10.000m	   27.419M
    570	   55.860k	  -65.515p	  -436.94p	   371.42p	   10.000m	   26.924M
    571	   55.861k	  -57.789p	  -422.88p	   365.09p	   10.000m	   27.391M
    572	   55.861k	  -54.344p	  -427.16p	   372.81p	   10.000m	   26.823M
    573	   55.862k	  -60.102p	  -437.87p	   377.77p	   10.000m	   26.471M
    574	   55.862k	  -56.045p	  -430.19p	   374.14p	   10.000m	   26.728M
    575	   55.862k	  -59.711p	  -428.13p	   368.41p	   10.000m	   27.143M
    576	   55.863k	  -61.265p	  -429.41p	   368.14p	   10.000m	   27.163M
    577	   55.863k	  -56.327p	  -435.06p	   378.74p	   10.000m	   26.404M
    578	   55.864k	  -59.909p	  -437.50p	   377.59p	   10.000m	   26.484M
    579	   55.864k	  -59.344p	  -443.34p	   384.00p	   10.000m	   26.042M
    580	   55.865k	  -65.954p	  -439.53p	   373.58p	   10.000m	   26.768M
    581	   55.865k	  -64.558p	  -437.16p	   372.60p	   10.000m	   26.839M
    582	   55.866k	  -58.318p	  -419.50p	   361.18p	   10.000m	   27.687M
    583	   55.866k	  -73.328p	  -447.06p	   373.73p	   10.000m	   26.757M
    584	   55.866k	  -75.552p	  -448.56p	   373.01p	   10.000m	   26.809M
    585	   55.867k	  -66.671p	  -430.91p	   364.24p	   10.000m	   27.455M
    586	   55.867k	  -59.266p	  -431.94p	   372.67p	   10.000m	   26.833M
    587	   55.868k	  -61.850p	  -433.56p	   371.71p	   10.000m	   26.902M
    588	   55.868k	  -58.241p	  -430.34p	   372.10p	   10.000m	   26.874M
    589	   55.869k	  -62.054p	  -435.12p	   373.07p	   10.000m	   26.805M
    590	   55.869k	  -60.313p	  -432.19p	   371.87p	   10.000m	   26.891M
    591	   55.869k	  -62.616p	  -425.59p	   362.98p	   10.000m	   27.550M
    592	   55.870k	  -59.816p	  -428.09p	   368.28p	   10.000m	   27.153M
    593	   55.870k	  -56.050p	  -426.47p	   370.42p	   10.000m	   26.996M
    594	   55.871k	  -61.144p	  -423.72p	   362.57p	   10.000m	   27.581M
    595	   55.871k	  -64.404p	  -418.78p	   354.38p	   10.000m	   28.218M
    596	   55.872k	  -62.126p	  -432.31p	   370.19p	   10.000m	   27.013M
    597	   55.872k	  -65.089p	  -435.12p	   370.04p	   10.000m	   27.024M
    598	   55.873k	  -61.996p	  -433.31p	   371.32p	   10.000m	   26.931M
    599	   55.873k	  -60.586p	  -427.44p	   366.85p	   10.000m	   27.259M
    600	   55.873k	  -62.012p	  -427.28p	   365.27p	   10.000m	   27.377M
    601	   55.874k	  -61.412p	  -437.66p	   376.24p	   10.000m	   26.579M
    602	   55.874k	  -66.928p	  -432.34p	   365.42p	   10.000m	   27.366M
    603	   55.875k	  -67.086p	  -438.13p	   371.04p	   10.000m	   26.951M
    604	   55.875k	  -68.043p	  -432.19p	   364.14p	   10.000m	   27.462M
    605	   55.876k	  -64.996p	  -439.72p	   374.72p	   10.000m	   26.686M
    606	   55.876k	  -61.418p	  -413.41p	   351.99p	   10.000m	   28.410M
    607	   55.876k	  -63.817p	  -433.81p	   370.00p	   10.000m	   27.027M
    608	   55.877k	  -273.67p	  -641.09p	   367.43p	   10.000m	   27.216M
    609	   55.877k	  -75.847p	  -429.34p	   353.50p	   10.000m	   28.289M
    610	   55.878k	  -68.420p	  -430.50p	   362.08p	   10.000m	   27.618M
    611	   55.878k	  -64.290p	  -434.28p	   369.99p	   10.000m	   27.028M
    612	   55.879k	  -75.992p	  -431.69p	   355.70p	   10.000m	   28.114M
    613	   55.879k	  -65.828p	  -423.81p	   357.98p	   10.000m	   27.934M
    614	   55.880k	  -65.260p	  -424.00p	   358.74p	   10.000m	   27.875M
    615	   55.880k	  -66.349p	  -426.37p	   360.03p	   10.000m	   27.776M
    616	   55.880k	  -60.283p	  -421.91p	   361.62p	   10.000m	   27.653M
    617	   55.881k	  -66.267p	  -422.75p	   356.48p	   10.000m	   28.052M
    618	   55.881k	  -63.203p	  -421.81p	   358.61p	   10.000m	   27.885M
    619	   55.882k	  -64.728p	  -423.41p	   358.68p	   10.000m	   27.880M
    620	   55.882k	  -62.310p	  -440.12p	   377.82p	   10.000m	   26.468M
    621	   55.883k	  -61.865p	  -424.94p	   363.07p	   10.000m	   27.543M
    622	   55.883k	  -56.326p	  -425.34p	   369.02p	   10.000m	   27.099M
    623	   55.883k	  -63.647p	  -420.81p	   357.17p	   10.000m	   27.998M
    624	   55.884k	  -63.015p	  -425.47p	   362.45p	   10.000m	   27.590M
    625	   55.884k	  -68.154p	  -431.16p	   363.00p	   10.000m	   27.548M
    626	   55.885k	  -70.830p	  -436.56p	   365.73p	   10.000m	   27.342M
    627	   55.885k	  -59.962p	  -434.81p	   374.85p	   10.000m	   26.677M
    628	   55.886k	  -64.929p	  -417.28p	   352.35p	   10.000m	   28.381M
    629	   55.886k	  -64.140p	  -426.28p	   362.14p	   10.000m	   27.614M
    630	   55.887k	  -64.484p	  -430.66p	   366.17p	   10.000m	   27.310M
    631	   55.887k	  -69.397p	  -430.31p	   360.92p	   10.000m	   27.707M
    632	   55.887k	  -66.270p	  -420.59p	   354.32p	   10.000m	   28.223M
    633	   55.888k	  -61.571p	  -420.41p	   358.83p	   10.000m	   27.868M
    634	   55.888k	  -61.618p	  -427.84p	   366.23p	   10.000m	   27.306M
    635	   55.889k	  -64.732p	  -420.19p	   355.46p	   10.000m	   28.133M
    636	   55.889k	  -59.725p	  -419.63p	   359.90p	   10.000m	   27.786M
