17-May-2019 11:54:01


GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 17-May-2019	 11:35:58.858
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.8829p	  17.772p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    315	   42.066k	  -127.17p	  -912.16p	   784.98p	   10.000m	   12.739M
    316	   42.067k	  -127.69p	  -921.47p	   793.78p	   10.000m	   12.598M
    317	   42.067k	  -125.96p	  -904.44p	   778.48p	   10.000m	   12.846M
    318	   42.067k	  -131.50p	  -913.06p	   781.56p	   10.000m	   12.795M
    319	   42.068k	  -140.43p	  -913.97p	   773.54p	   10.000m	   12.928M
    320	   42.068k	  -124.43p	  -921.62p	   797.19p	   10.000m	   12.544M
    321	   42.069k	  -127.23p	  -922.87p	   795.65p	   10.000m	   12.568M
    322	   42.069k	  -129.88p	  -904.91p	   775.03p	   10.000m	   12.903M
    323	   42.070k	  -124.62p	  -902.38p	   777.75p	   10.000m	   12.858M
    324	   42.070k	  -127.35p	  -895.59p	   768.24p	   10.000m	   13.017M
    325	   42.071k	  -130.16p	  -912.72p	   782.56p	   10.000m	   12.779M
    326	   42.071k	  -121.94p	  -894.50p	   772.56p	   10.000m	   12.944M
    327	   42.071k	  -122.55p	  -892.38p	   769.82p	   10.000m	   12.990M
    328	   42.072k	  -125.63p	  -891.13p	   765.50p	   10.000m	   13.063M
    329	   42.072k	  -131.31p	  -896.59p	   765.29p	   10.000m	   13.067M
    330	   42.073k	  -124.28p	  -897.69p	   773.40p	   10.000m	   12.930M
    331	   42.073k	  -123.87p	  -904.25p	   780.38p	   10.000m	   12.814M
    332	   42.074k	  -126.88p	  -914.12p	   787.25p	   10.000m	   12.702M
    333	   42.074k	  -124.06p	  -908.50p	   784.44p	   10.000m	   12.748M
    334	   42.074k	  -125.04p	  -899.44p	   774.40p	   10.000m	   12.913M
    335	   42.075k	  -127.33p	  -891.19p	   763.86p	   10.000m	   13.091M
    336	   42.075k	  -125.37p	  -902.47p	   777.09p	   10.000m	   12.868M
    337	   42.076k	  -135.74p	  -913.03p	   777.29p	   10.000m	   12.865M
    338	   42.076k	  -127.31p	  -898.41p	   771.10p	   10.000m	   12.968M
    339	   42.077k	  -125.20p	  -903.06p	   777.86p	   10.000m	   12.856M
    340	   42.077k	  -120.35p	  -895.94p	   775.58p	   10.000m	   12.894M
    341	   42.078k	  -127.18p	  -904.19p	   777.00p	   10.000m	   12.870M
    342	   42.078k	  -124.46p	  -905.53p	   781.07p	   10.000m	   12.803M
    343	   42.078k	  -122.40p	  -904.25p	   781.85p	   10.000m	   12.790M
    344	   42.079k	  -120.80p	  -892.69p	   771.89p	   10.000m	   12.955M
    345	   42.079k	  -121.55p	  -899.41p	   777.86p	   10.000m	   12.856M
    346	   42.080k	  -124.09p	  -901.19p	   777.10p	   10.000m	   12.868M
    347	   42.080k	  -119.97p	  -896.28p	   776.31p	   10.000m	   12.881M
    348	   42.081k	  -119.27p	  -879.03p	   759.77p	   10.000m	   13.162M
    349	   42.081k	  -126.66p	  -904.94p	   778.28p	   10.000m	   12.849M
    350	   42.081k	  -126.97p	  -904.62p	   777.66p	   10.000m	   12.859M
    351	   42.082k	  -121.08p	  -924.81p	   803.74p	   10.000m	   12.442M
    352	   42.082k	  -123.62p	  -894.00p	   770.38p	   10.000m	   12.981M
    353	   42.083k	  -120.72p	  -897.38p	   776.65p	   10.000m	   12.876M
    354	   42.083k	  -118.80p	  -882.47p	   763.67p	   10.000m	   13.095M
    355	   42.084k	  -122.56p	  -893.72p	   771.16p	   10.000m	   12.967M
    356	   42.084k	  -119.83p	  -892.25p	   772.42p	   10.000m	   12.946M
    357	   42.085k	  -118.83p	  -902.25p	   783.42p	   10.000m	   12.765M
    358	   42.085k	  -122.87p	  -905.69p	   782.82p	   10.000m	   12.774M
    359	   42.085k	  -123.08p	  -914.44p	   791.36p	   10.000m	   12.637M
    360	   42.086k	  -120.00p	  -900.59p	   780.59p	   10.000m	   12.811M
    361	   42.086k	  -122.84p	  -887.56p	   764.72p	   10.000m	   13.077M
    362	   42.087k	  -118.79p	  -892.31p	   773.52p	   10.000m	   12.928M
    363	   42.087k	  -115.28p	  -914.00p	   798.72p	   10.000m	   12.520M
    364	   42.088k	  -115.72p	  -905.47p	   789.74p	   10.000m	   12.662M
    365	   42.088k	  -127.21p	  -898.59p	   771.38p	   10.000m	   12.964M
    366	   42.088k	  -122.04p	  -922.34p	   800.30p	   10.000m	   12.495M
    367	   42.089k	  -118.72p	  -902.31p	   783.60p	   10.000m	   12.762M
    368	   42.089k	  -117.28p	  -895.50p	   778.22p	   10.000m	   12.850M
    369	   42.090k	  -122.92p	  -899.69p	   776.76p	   10.000m	   12.874M
    370	   42.090k	  -122.11p	  -897.62p	   775.52p	   10.000m	   12.895M
    371	   42.091k	  -125.36p	  -901.94p	   776.58p	   10.000m	   12.877M
    372	   42.091k	  -122.57p	  -899.81p	   777.25p	   10.000m	   12.866M
    373	   42.092k	  -125.45p	  -894.62p	   769.17p	   10.000m	   13.001M
    374	   42.092k	  -129.96p	  -916.97p	   787.01p	   10.000m	   12.706M
    375	   42.092k	  -121.88p	  -911.62p	   789.74p	   10.000m	   12.662M
    376	   42.093k	  -125.27p	  -925.19p	   799.91p	   10.000m	   12.501M
    377	   42.093k	  -124.60p	  -899.38p	   774.77p	   10.000m	   12.907M
    378	   42.094k	  -119.28p	  -898.72p	   779.44p	   10.000m	   12.830M
    379	   42.094k	  -125.52p	  -907.28p	   781.76p	   10.000m	   12.792M
    380	   42.095k	  -124.71p	  -897.44p	   772.73p	   10.000m	   12.941M
    381	   42.095k	  -122.94p	  -898.00p	   775.06p	   10.000m	   12.902M
    382	   42.095k	  -122.78p	  -908.16p	   785.38p	   10.000m	   12.733M
    383	   42.096k	  -119.56p	  -908.78p	   789.22p	   10.000m	   12.671M
    384	   42.096k	  -122.68p	  -891.16p	   768.48p	   10.000m	   13.013M
    385	   42.097k	  -120.56p	  -902.87p	   782.32p	   10.000m	   12.783M
    386	   42.097k	  -122.98p	  -929.81p	   806.84p	   10.000m	   12.394M
    387	   42.098k	  -128.49p	  -914.22p	   785.73p	   10.000m	   12.727M
    388	   42.098k	  -126.53p	  -908.06p	   781.53p	   10.000m	   12.795M
    389	   42.099k	  -122.63p	  -910.06p	   787.43p	   10.000m	   12.700M
    390	   42.099k	  -131.17p	  -904.09p	   772.92p	   10.000m	   12.938M
    391	   42.099k	  -125.41p	  -900.97p	   775.55p	   10.000m	   12.894M
    392	   42.100k	  -120.30p	  -907.47p	   787.17p	   10.000m	   12.704M
    393	   42.100k	  -117.29p	  -910.56p	   793.27p	   10.000m	   12.606M
    394	   42.101k	  -121.31p	  -913.22p	   791.91p	   10.000m	   12.628M
    395	   42.101k	  -119.71p	  -900.75p	   781.04p	   10.000m	   12.804M
    396	   42.102k	  -121.87p	  -909.38p	   787.50p	   10.000m	   12.698M
    397	   42.102k	  -119.55p	  -904.84p	   785.30p	   10.000m	   12.734M
    398	   42.102k	  -117.24p	  -907.97p	   790.73p	   10.000m	   12.647M
    399	   42.103k	  -118.42p	  -907.00p	   788.58p	   10.000m	   12.681M
    400	   42.103k	  -119.68p	  -904.69p	   785.01p	   10.000m	   12.739M
    401	   42.104k	  -117.37p	  -907.06p	   789.69p	   10.000m	   12.663M
    402	   42.104k	  -119.08p	  -900.19p	   781.11p	   10.000m	   12.802M
    403	   42.105k	  -125.01p	  -904.09p	   779.08p	   10.000m	   12.836M
    404	   42.105k	  -121.34p	  -904.03p	   782.69p	   10.000m	   12.776M
    405	   42.106k	  -121.86p	  -909.62p	   787.77p	   10.000m	   12.694M
    406	   42.106k	  -121.96p	  -913.75p	   791.79p	   10.000m	   12.630M
    407	   42.106k	  -118.74p	  -940.63p	   821.88p	   10.000m	   12.167M
    408	   42.107k	  -121.02p	  -915.44p	   794.42p	   10.000m	   12.588M
    409	   42.107k	  -129.36p	  -914.97p	   785.61p	   10.000m	   12.729M
    410	   42.108k	  -122.54p	  -905.47p	   782.92p	   10.000m	   12.773M
    411	   42.108k	  -117.65p	  -901.50p	   783.85p	   10.000m	   12.758M
    412	   42.109k	  -116.54p	  -895.00p	   778.46p	   10.000m	   12.846M
    413	   42.109k	  -134.82p	  -912.78p	   777.96p	   10.000m	   12.854M
    414	   42.109k	  -117.34p	  -899.00p	   781.66p	   10.000m	   12.793M
    415	   42.110k	  -118.26p	  -899.88p	   781.62p	   10.000m	   12.794M
    416	   42.110k	  -118.40p	  -915.44p	   797.03p	   10.000m	   12.547M
    417	   42.111k	  -119.02p	  -905.16p	   786.13p	   10.000m	   12.720M
    418	   42.111k	  -127.76p	  -966.94p	   839.18p	   10.000m	   11.916M
    419	   42.112k	  -123.26p	  -893.50p	   770.24p	   10.000m	   12.983M
    420	   42.112k	  -122.32p	  -898.34p	   776.03p	   10.000m	   12.886M
    421	   42.113k	  -121.19p	  -890.66p	   769.46p	   10.000m	   12.996M
    422	   42.113k	  -124.01p	  -894.44p	   770.43p	   10.000m	   12.980M
    423	   42.113k	  -125.66p	  -900.47p	   774.81p	   10.000m	   12.906M
    424	   42.114k	  -122.08p	  -903.81p	   781.73p	   10.000m	   12.792M
    425	   42.114k	  -121.28p	  -883.50p	   762.22p	   10.000m	   13.120M
    426	   42.115k	  -123.72p	  -907.87p	   784.15p	   10.000m	   12.753M
    427	   42.115k	  -124.31p	  -896.72p	   772.41p	   10.000m	   12.946M
    428	   42.116k	  -119.44p	  -901.31p	   781.87p	   10.000m	   12.790M
    429	   42.116k	  -117.23p	  -896.88p	   779.64p	   10.000m	   12.826M
    430	   42.116k	  -118.51p	  -899.28p	   780.77p	   10.000m	   12.808M
    431	   42.117k	  -127.98p	  -916.34p	   788.37p	   10.000m	   12.684M
    432	   42.117k	  -119.90p	  -904.75p	   784.85p	   10.000m	   12.741M
    433	   42.118k	  -123.04p	  -900.50p	   777.46p	   10.000m	   12.862M
    434	   42.118k	  -124.25p	  -880.37p	   756.12p	   10.000m	   13.225M
    435	   42.119k	  -124.89p	  -914.50p	   789.61p	   10.000m	   12.665M
    436	   42.119k	  -130.87p	  -905.31p	   774.45p	   10.000m	   12.912M
    437	   42.120k	  -123.93p	  -901.97p	   778.04p	   10.000m	   12.853M
    438	   42.120k	  -117.51p	  -891.44p	   773.93p	   10.000m	   12.921M
    439	   42.120k	  -121.45p	  -909.34p	   787.89p	   10.000m	   12.692M
    440	   42.121k	  -118.47p	  -904.81p	   786.35p	   10.000m	   12.717M
    441	   42.121k	  -118.62p	  -907.09p	   788.48p	   10.000m	   12.683M
    442	   42.122k	  -124.44p	  -889.28p	   764.84p	   10.000m	   13.075M
    443	   42.122k	  -118.48p	  -906.78p	   788.30p	   10.000m	   12.685M
    444	   42.123k	  -115.79p	  -894.34p	   778.55p	   10.000m	   12.844M
    445	   42.123k	  -124.39p	  -900.41p	   776.02p	   10.000m	   12.886M
    446	   42.123k	  -116.53p	  -899.78p	   783.25p	   10.000m	   12.767M
    447	   42.124k	  -117.41p	  -901.59p	   784.19p	   10.000m	   12.752M
    448	   42.124k	  -117.80p	  -891.81p	   774.02p	   10.000m	   12.920M
    449	   42.125k	  -117.47p	  -899.78p	   782.31p	   10.000m	   12.783M
    450	   42.125k	  -116.27p	  -910.31p	   794.04p	   10.000m	   12.594M
    451	   42.126k	  -119.49p	  -907.06p	   787.57p	   10.000m	   12.697M
    452	   42.126k	  -118.85p	  -907.50p	   788.65p	   10.000m	   12.680M
    453	   42.127k	  -116.32p	  -905.19p	   788.86p	   10.000m	   12.676M
    454	   42.127k	  -116.92p	  -904.47p	   787.55p	   10.000m	   12.698M
    455	   42.127k	  -116.66p	  -899.00p	   782.34p	   10.000m	   12.782M
    456	   42.128k	  -117.96p	  -904.88p	   786.91p	   10.000m	   12.708M
    457	   42.128k	  -123.00p	  -910.31p	   787.31p	   10.000m	   12.701M
    458	   42.129k	  -117.89p	  -914.91p	   797.02p	   10.000m	   12.547M
    459	   42.129k	  -118.94p	  -910.75p	   791.81p	   10.000m	   12.629M
    460	   42.130k	  -124.75p	  -908.13p	   783.37p	   10.000m	   12.765M
    461	   42.130k	  -118.17p	  -908.87p	   790.71p	   10.000m	   12.647M
    462	   42.130k	  -120.13p	  -902.78p	   782.65p	   10.000m	   12.777M
    463	   42.131k	  -122.51p	  -918.69p	   796.17p	   10.000m	   12.560M
    464	   42.131k	  -118.14p	  -901.47p	   783.33p	   10.000m	   12.766M
    465	   42.132k	  -121.05p	  -925.50p	   804.45p	   10.000m	   12.431M
    466	   42.132k	  -121.42p	  -902.84p	   781.43p	   10.000m	   12.797M
    467	   42.133k	  -120.81p	  -903.47p	   782.66p	   10.000m	   12.777M
    468	   42.133k	  -120.68p	  -906.66p	   785.98p	   10.000m	   12.723M
    469	   42.134k	  -118.39p	  -912.06p	   793.67p	   10.000m	   12.600M
    470	   42.134k	  -124.28p	  -912.19p	   787.91p	   10.000m	   12.692M
    471	   42.134k	  -123.19p	  -905.72p	   782.52p	   10.000m	   12.779M
    472	   42.135k	  -122.11p	  -907.50p	   785.39p	   10.000m	   12.733M
    473	   42.135k	  -130.11p	  -916.09p	   785.98p	   10.000m	   12.723M
    474	   42.136k	  -120.13p	  -913.75p	   793.62p	   10.000m	   12.600M
    475	   42.136k	  -126.10p	  -909.62p	   783.53p	   10.000m	   12.763M
    476	   42.137k	  -133.38p	  -924.81p	   791.43p	   10.000m	   12.635M
    477	   42.137k	  -123.65p	  -901.53p	   777.88p	   10.000m	   12.855M
    478	   42.137k	  -125.49p	  -912.19p	   786.70p	   10.000m	   12.711M
    479	   42.138k	  -122.75p	  -906.37p	   783.62p	   10.000m	   12.761M
    480	   42.138k	  -121.51p	  -925.84p	   804.33p	   10.000m	   12.433M
    481	   42.139k	  -121.74p	  -920.59p	   798.85p	   10.000m	   12.518M
    482	   42.139k	  -126.99p	  -902.06p	   775.07p	   10.000m	   12.902M
    483	   42.140k	  -121.62p	  -918.72p	   797.10p	   10.000m	   12.546M
    484	   42.140k	  -125.87p	  -906.41p	   780.54p	   10.000m	   12.812M
    485	   42.141k	  -123.14p	  -917.81p	   794.67p	   10.000m	   12.584M
    486	   42.141k	  -126.40p	  -904.56p	   778.16p	   10.000m	   12.851M
    487	   42.141k	  -125.89p	  -914.66p	   788.77p	   10.000m	   12.678M
    488	   42.142k	  -135.02p	  -918.37p	   783.36p	   10.000m	   12.766M
    489	   42.142k	  -138.43p	  -917.31p	   778.88p	   10.000m	   12.839M
    490	   42.143k	  -120.86p	  -906.34p	   785.49p	   10.000m	   12.731M
    491	   42.143k	  -122.17p	  -903.03p	   780.86p	   10.000m	   12.806M
    492	   42.144k	  -123.77p	  -911.31p	   787.55p	   10.000m	   12.698M
    493	   42.144k	  -125.78p	  -930.69p	   804.91p	   10.000m	   12.424M
    494	   42.144k	  -128.30p	  -929.69p	   801.39p	   10.000m	   12.478M
    495	   42.145k	  -125.27p	  -910.81p	   785.55p	   10.000m	   12.730M
    496	   42.145k	  -125.76p	  -904.78p	   779.02p	   10.000m	   12.837M
    497	   42.146k	  -122.07p	  -900.63p	   778.55p	   10.000m	   12.844M
    498	   42.146k	  -130.90p	  -905.94p	   775.04p	   10.000m	   12.903M
    499	   42.147k	  -124.92p	  -895.47p	   770.55p	   10.000m	   12.978M
    500	   42.147k	  -123.73p	  -979.97p	   856.24p	   10.000m	   11.679M
    501	   42.148k	  -127.94p	  -909.72p	   781.78p	   10.000m	   12.791M
    502	   42.148k	  -131.92p	  -910.81p	   778.89p	   10.000m	   12.839M
    503	   42.148k	  -127.96p	  -902.56p	   774.61p	   10.000m	   12.910M
    504	   42.149k	  -126.61p	  -904.28p	   777.67p	   10.000m	   12.859M
    505	   42.149k	  -125.07p	  -906.00p	   780.93p	   10.000m	   12.805M
    506	   42.150k	  -131.22p	  -906.66p	   775.43p	   10.000m	   12.896M
    507	   42.150k	  -123.86p	  -905.81p	   781.96p	   10.000m	   12.788M
    508	   42.151k	  -127.22p	  -902.28p	   775.07p	   10.000m	   12.902M
    509	   42.151k	  -128.75p	  -916.47p	   787.72p	   10.000m	   12.695M
    510	   42.151k	  -123.04p	  -916.31p	   793.27p	   10.000m	   12.606M
    511	   42.152k	  -124.92p	  -911.59p	   786.67p	   10.000m	   12.712M
    512	   42.152k	  -133.30p	  -923.41p	   790.11p	   10.000m	   12.656M
    513	   42.153k	  -132.82p	  -950.09p	   817.27p	   10.000m	   12.236M
    514	   42.153k	  -136.15p	  -914.28p	   778.13p	   10.000m	   12.851M
    515	   42.154k	  -126.21p	  -903.94p	   777.73p	   10.000m	   12.858M
    516	   42.154k	  -128.20p	  -918.16p	   789.96p	   10.000m	   12.659M
    517	   42.155k	  -126.55p	  -908.56p	   782.01p	   10.000m	   12.788M
    518	   42.155k	  -135.16p	  -913.37p	   778.22p	   10.000m	   12.850M
    519	   42.155k	  -127.39p	  -911.81p	   784.43p	   10.000m	   12.748M
    520	   42.156k	  -126.80p	  -906.84p	   780.05p	   10.000m	   12.820M
    521	   42.156k	  -127.49p	  -900.06p	   772.58p	   10.000m	   12.944M
    522	   42.157k	  -126.55p	  -911.81p	   785.27p	   10.000m	   12.735M
    523	   42.157k	  -122.70p	  -911.50p	   788.80p	   10.000m	   12.677M
    524	   42.158k	  -128.26p	  -924.12p	   795.86p	   10.000m	   12.565M
    525	   42.158k	  -127.08p	  -909.75p	   782.67p	   10.000m	   12.777M
    526	   42.158k	  -130.24p	  -911.88p	   781.64p	   10.000m	   12.794M
    527	   42.159k	  -131.55p	  -917.59p	   786.05p	   10.000m	   12.722M
    528	   42.159k	  -138.36p	  -908.97p	   770.61p	   10.000m	   12.977M
    529	   42.160k	  -122.00p	  -913.84p	   791.84p	   10.000m	   12.629M
    530	   42.160k	  -131.45p	  -899.28p	   767.83p	   10.000m	   13.024M
    531	   42.161k	  -129.46p	  -909.56p	   780.11p	   10.000m	   12.819M
    532	   42.161k	  -128.76p	  -922.78p	   794.02p	   10.000m	   12.594M
    533	   42.162k	  -131.06p	  -916.69p	   785.63p	   10.000m	   12.729M
    534	   42.162k	  -129.76p	  -911.19p	   781.42p	   10.000m	   12.797M
    535	   42.162k	  -131.63p	  -916.13p	   784.49p	   10.000m	   12.747M
    536	   42.163k	  -127.98p	  -907.47p	   779.49p	   10.000m	   12.829M
    537	   42.163k	  -126.27p	  -899.97p	   773.70p	   10.000m	   12.925M
    538	   42.164k	  -130.20p	  -899.53p	   769.33p	   10.000m	   12.998M
    539	   42.164k	  -134.33p	  -922.66p	   788.32p	   10.000m	   12.685M
    540	   42.165k	  -129.56p	  -906.13p	   776.57p	   10.000m	   12.877M
    541	   42.165k	  -131.18p	  -907.22p	   776.04p	   10.000m	   12.886M
    542	   42.165k	  -128.37p	  -916.91p	   788.53p	   10.000m	   12.682M
    543	   42.166k	  -127.70p	  -902.84p	   775.14p	   10.000m	   12.901M
    544	   42.166k	  -131.64p	  -902.94p	   771.30p	   10.000m	   12.965M
    545	   42.167k	  -127.85p	  -901.28p	   773.43p	   10.000m	   12.929M
    546	   42.167k	  -128.24p	  -887.22p	   758.98p	   10.000m	   13.176M
    547	   42.168k	  -128.68p	  -895.84p	   767.17p	   10.000m	   13.035M
    548	   42.168k	  -125.35p	  -895.47p	   770.12p	   10.000m	   12.985M
    549	   42.169k	  -132.61p	  -895.81p	   763.20p	   10.000m	   13.103M
    550	   42.169k	  -126.84p	  -904.59p	   777.75p	   10.000m	   12.858M
    551	   42.169k	  -130.87p	  -898.06p	   767.20p	   10.000m	   13.034M
    552	   42.170k	  -135.27p	  -896.81p	   761.54p	   10.000m	   13.131M
    553	   42.170k	  -127.76p	  -887.72p	   759.96p	   10.000m	   13.159M
    554	   42.171k	  -136.97p	  -905.91p	   768.94p	   10.000m	   13.005M
    555	   42.171k	  -135.88p	  -896.25p	   760.37p	   10.000m	   13.152M
    556	   42.172k	  -130.24p	  -891.91p	   761.67p	   10.000m	   13.129M
    557	   42.172k	  -132.32p	  -887.16p	   754.84p	   10.000m	   13.248M
    558	   42.172k	  -131.45p	  -895.37p	   763.92p	   10.000m	   13.090M
    559	   42.173k	  -135.39p	  -882.03p	   746.64p	   10.000m	   13.393M
    560	   42.173k	  -139.62p	  -902.00p	   762.38p	   10.000m	   13.117M
    561	   42.174k	  -129.68p	  -896.06p	   766.38p	   10.000m	   13.048M
    562	   42.174k	  -134.43p	  -884.12p	   749.70p	   10.000m	   13.339M
    563	   42.175k	  -129.48p	  -925.06p	   795.58p	   10.000m	   12.569M
    564	   42.175k	  -128.63p	  -888.87p	   760.24p	   10.000m	   13.154M
    565	   42.176k	  -129.89p	  -882.22p	   752.33p	   10.000m	   13.292M
    566	   42.176k	  -126.51p	  -884.19p	   757.68p	   10.000m	   13.198M
    567	   42.176k	  -124.33p	  -892.41p	   768.07p	   10.000m	   13.020M
    568	   42.177k	  -123.24p	  -877.59p	   754.36p	   10.000m	   13.256M
    569	   42.177k	  -127.51p	  -887.50p	   759.99p	   10.000m	   13.158M
    570	   42.178k	  -129.88p	  -884.94p	   755.06p	   10.000m	   13.244M
    571	   42.178k	  -125.72p	  -882.06p	   756.34p	   10.000m	   13.221M
    572	   42.179k	  -134.73p	  -886.91p	   752.18p	   10.000m	   13.295M
    573	   42.179k	  -128.20p	  -879.44p	   751.24p	   10.000m	   13.311M
    574	   42.179k	  -134.70p	  -883.06p	   748.36p	   10.000m	   13.363M
    575	   42.180k	  -125.59p	  -881.53p	   755.94p	   10.000m	   13.229M
    576	   42.180k	  -125.89p	  -886.25p	   760.36p	   10.000m	   13.152M
    577	   42.181k	  -131.48p	  -878.87p	   747.39p	   10.000m	   13.380M
    578	   42.181k	  -128.89p	  -874.31p	   745.43p	   10.000m	   13.415M
    579	   42.182k	  -132.36p	  -893.03p	   760.67p	   10.000m	   13.146M
    580	   42.182k	  -134.72p	  -897.12p	   762.40p	   10.000m	   13.116M
    581	   42.183k	  -134.33p	  -891.03p	   756.71p	   10.000m	   13.215M
    582	   42.183k	  -131.41p	  -874.25p	   742.84p	   10.000m	   13.462M
    583	   42.183k	  -135.78p	  -896.47p	   760.69p	   10.000m	   13.146M
    584	   42.184k	  -132.28p	  -873.63p	   741.35p	   10.000m	   13.489M
    585	   42.184k	  -130.51p	  -870.97p	   740.46p	   10.000m	   13.505M
    586	   42.185k	  -125.18p	  -888.72p	   763.54p	   10.000m	   13.097M
    587	   42.185k	  -140.83p	  -871.62p	   730.79p	   10.000m	   13.684M
    588	   42.186k	  -129.87p	  -878.44p	   748.57p	   10.000m	   13.359M
    589	   42.186k	  -127.68p	  -863.81p	   736.13p	   10.000m	   13.585M
    590	   42.186k	  -131.18p	  -871.50p	   740.32p	   10.000m	   13.508M
    591	   42.187k	  -128.31p	  -876.37p	   748.06p	   10.000m	   13.368M
    592	   42.187k	  -129.66p	  -875.25p	   745.59p	   10.000m	   13.412M
    593	   42.188k	  -134.62p	  -869.03p	   734.41p	   10.000m	   13.616M
    594	   42.188k	  -130.17p	  -866.28p	   736.11p	   10.000m	   13.585M
    595	   42.189k	  -134.50p	  -881.41p	   746.91p	   10.000m	   13.389M
    596	   42.189k	  -129.45p	  -853.97p	   724.52p	   10.000m	   13.802M
    597	   42.190k	  -125.59p	  -859.41p	   733.81p	   10.000m	   13.627M
    598	   42.190k	  -131.67p	  -865.19p	   733.52p	   10.000m	   13.633M
    599	   42.190k	  -128.03p	  -873.66p	   745.63p	   10.000m	   13.412M
    600	   42.191k	  -127.53p	  -854.84p	   727.31p	   10.000m	   13.749M
    601	   42.191k	  -129.47p	  -847.53p	   718.06p	   10.000m	   13.926M
    602	   42.192k	  -130.49p	  -852.91p	   722.41p	   10.000m	   13.842M
    603	   42.192k	  -134.70p	  -864.59p	   729.89p	   10.000m	   13.701M
    604	   42.193k	  -130.42p	  -844.88p	   714.46p	   10.000m	   13.997M
    605	   42.193k	  -129.16p	  -849.91p	   720.75p	   10.000m	   13.874M
    606	   42.193k	  -126.59p	  -847.16p	   720.57p	   10.000m	   13.878M
    607	   42.194k	  -130.38p	  -834.25p	   703.87p	   10.000m	   14.207M
    608	   42.194k	  -129.37p	  -842.97p	   713.60p	   10.000m	   14.013M
    609	   42.195k	  -124.04p	  -851.78p	   727.75p	   10.000m	   13.741M
    610	   42.195k	  -127.95p	  -845.97p	   718.02p	   10.000m	   13.927M
    611	   42.196k	  -132.10p	  -837.47p	   705.37p	   10.000m	   14.177M
    612	   42.196k	  -131.41p	  -842.66p	   711.24p	   10.000m	   14.060M
    613	   42.197k	  -126.81p	  -830.34p	   703.53p	   10.000m	   14.214M
    614	   42.197k	  -129.25p	  -832.03p	   702.78p	   10.000m	   14.229M
    615	   42.197k	  -126.57p	  -835.41p	   708.83p	   10.000m	   14.108M
    616	   42.198k	  -130.82p	  -843.69p	   712.87p	   10.000m	   14.028M
    617	   42.198k	  -132.31p	  -832.75p	   700.44p	   10.000m	   14.277M
    618	   42.199k	  -128.92p	  -836.13p	   707.21p	   10.000m	   14.140M
    619	   42.199k	  -134.18p	  -836.91p	   702.73p	   10.000m	   14.230M
    620	   42.200k	  -126.90p	  -842.25p	   715.35p	   10.000m	   13.979M
    621	   42.200k	  -126.77p	  -849.81p	   723.04p	   10.000m	   13.830M
    622	   42.200k	  -129.46p	  -850.66p	   721.20p	   10.000m	   13.866M
    623	   42.201k	  -127.37p	  -874.31p	   746.94p	   10.000m	   13.388M
    624	   42.201k	  -124.23p	  -864.06p	   739.84p	   10.000m	   13.517M
    625	   42.202k	  -133.09p	  -884.59p	   751.51p	   10.000m	   13.307M
    626	   42.202k	  -134.67p	  -875.25p	   740.58p	   10.000m	   13.503M
    627	   42.203k	  -126.27p	  -876.62p	   750.36p	   10.000m	   13.327M
    628	   42.203k	  -130.99p	  -896.25p	   765.26p	   10.000m	   13.068M
    629	   42.204k	  -129.86p	  -879.78p	   749.92p	   10.000m	   13.335M
    630	   42.204k	  -128.67p	  -891.53p	   762.87p	   10.000m	   13.108M
    631	   42.204k	  -129.35p	  -890.34p	   761.00p	   10.000m	   13.141M
    632	   42.205k	  -127.40p	  -885.81p	   758.41p	   10.000m	   13.185M
    633	   42.205k	  -127.01p	  -892.53p	   765.52p	   10.000m	   13.063M
    634	   42.206k	  -124.77p	  -886.62p	   761.85p	   10.000m	   13.126M
    635	   42.206k	  -123.02p	  -895.19p	   772.17p	   10.000m	   12.951M
    636	   42.207k	  -124.38p	  -887.41p	   763.03p	   10.000m	   13.106M
    637	   42.207k	  -124.23p	  -882.06p	   757.83p	   10.000m	   13.196M
    638	   42.207k	  -121.61p	  -885.53p	   763.92p	   10.000m	   13.090M
    639	   42.208k	  -127.32p	  -896.97p	   769.65p	   10.000m	   12.993M
    640	   42.208k	  -125.64p	  -916.84p	   791.21p	   10.000m	   12.639M
    641	   42.209k	  -121.87p	  -890.25p	   768.38p	   10.000m	   13.014M
    642	   42.209k	  -130.24p	  -931.72p	   801.48p	   10.000m	   12.477M
    643	   42.210k	  -124.09p	  -896.41p	   772.31p	   10.000m	   12.948M
    644	   42.210k	  -123.98p	  -881.50p	   757.52p	   10.000m	   13.201M
    645	   42.211k	  -124.51p	  -896.72p	   772.21p	   10.000m	   12.950M
    646	   42.211k	  -125.34p	  -916.72p	   791.38p	   10.000m	   12.636M
    647	   42.211k	  -128.85p	  -901.06p	   772.21p	   10.000m	   12.950M
    648	   42.212k	  -127.48p	  -901.28p	   773.80p	   10.000m	   12.923M
    649	   42.212k	  -126.42p	  -910.28p	   783.86p	   10.000m	   12.757M
    650	   42.213k	  -126.22p	  -902.94p	   776.71p	   10.000m	   12.875M
