17-May-2019 11:54:01


GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 17-May-2019	 11:35:58.858
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.8829p	  17.772p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
     62	   41.955k	  -116.57p	  -929.47p	   812.90p	   10.000m	   12.302M
     63	   41.956k	  -117.81p	  -933.72p	   815.91p	   10.000m	   12.256M
     64	   41.956k	  -120.14p	  -943.09p	   822.96p	   10.000m	   12.151M
     65	   41.957k	  -125.26p	  -937.09p	   811.83p	   10.000m	   12.318M
     66	   41.957k	  -123.72p	  -933.22p	   809.49p	   10.000m	   12.353M
     67	   41.958k	  -121.47p	  -949.47p	   827.99p	   10.000m	   12.077M
     68	   41.958k	  -135.23p	  -952.37p	   817.14p	   10.000m	   12.238M
     69	   41.959k	  -121.87p	  -926.25p	   804.38p	   10.000m	   12.432M
     70	   41.959k	  -115.62p	  -940.91p	   825.29p	   10.000m	   12.117M
     71	   41.959k	  -124.13p	  -923.13p	   799.00p	   10.000m	   12.516M
     72	   41.960k	  -119.77p	  -924.62p	   804.85p	   10.000m	   12.425M
     73	   41.960k	  -123.46p	  -921.13p	   797.66p	   10.000m	   12.537M
     74	   41.961k	  -123.17p	  -920.22p	   797.05p	   10.000m	   12.546M
     75	   41.961k	  -120.20p	  -930.00p	   809.80p	   10.000m	   12.349M
     76	   41.962k	  -128.97p	  -937.97p	   809.00p	   10.000m	   12.361M
     77	   41.962k	  -122.18p	  -924.62p	   802.44p	   10.000m	   12.462M
     78	   41.962k	  -123.10p	  -927.75p	   804.65p	   10.000m	   12.428M
     79	   41.963k	  -125.63p	  -928.69p	   803.06p	   10.000m	   12.452M
     80	   41.963k	  -123.57p	  -921.47p	   797.89p	   10.000m	   12.533M
     81	   41.964k	  -124.94p	  -932.28p	   807.34p	   10.000m	   12.386M
     82	   41.964k	  -125.29p	  -928.69p	   803.40p	   10.000m	   12.447M
     83	   41.965k	  -119.42p	  -926.66p	   807.24p	   10.000m	   12.388M
     84	   41.965k	  -126.15p	  -934.25p	   808.10p	   10.000m	   12.375M
     85	   41.966k	  -126.33p	  -932.16p	   805.83p	   10.000m	   12.410M
     86	   41.966k	  -126.50p	  -929.75p	   803.25p	   10.000m	   12.449M
     87	   41.966k	  -135.78p	  -930.59p	   794.82p	   10.000m	   12.582M
     88	   41.967k	  -121.60p	  -930.25p	   808.65p	   10.000m	   12.366M
     89	   41.967k	  -130.38p	  -927.22p	   796.83p	   10.000m	   12.550M
     90	   41.968k	  -127.57p	  -936.44p	   808.87p	   10.000m	   12.363M
     91	   41.968k	  -126.99p	  -920.69p	   793.70p	   10.000m	   12.599M
     92	   41.969k	  -130.53p	  -923.47p	   792.93p	   10.000m	   12.611M
     93	   41.969k	  -123.83p	  -924.91p	   801.07p	   10.000m	   12.483M
     94	   41.969k	  -128.09p	  -938.00p	   809.91p	   10.000m	   12.347M
     95	   41.970k	  -126.65p	  -938.87p	   812.22p	   10.000m	   12.312M
     96	   41.970k	  -132.06p	  -933.03p	   800.97p	   10.000m	   12.485M
     97	   41.971k	  -135.18p	  -937.91p	   802.73p	   10.000m	   12.458M
     98	   41.971k	  -120.44p	  -941.00p	   820.56p	   10.000m	   12.187M
     99	   41.972k	  -119.37p	  -977.25p	   857.88p	   10.000m	   11.657M
    100	   41.972k	  -122.38p	  -925.81p	   803.44p	   10.000m	   12.447M
    101	   41.973k	  -120.14p	  -925.87p	   805.74p	   10.000m	   12.411M
    102	   41.973k	  -121.77p	  -929.09p	   807.32p	   10.000m	   12.387M
    103	   41.973k	  -121.09p	  -926.97p	   805.88p	   10.000m	   12.409M
    104	   41.974k	  -123.93p	  -925.12p	   801.19p	   10.000m	   12.481M
    105	   41.974k	  -129.89p	  -926.84p	   796.95p	   10.000m	   12.548M
    106	   41.975k	  -124.09p	  -921.72p	   797.62p	   10.000m	   12.537M
    107	   41.975k	  -120.82p	  -924.34p	   803.53p	   10.000m	   12.445M
    108	   41.976k	  -121.70p	  -927.16p	   805.46p	   10.000m	   12.415M
    109	   41.976k	  -127.32p	  -925.59p	   798.27p	   10.000m	   12.527M
    110	   41.976k	  -123.52p	  -916.97p	   793.45p	   10.000m	   12.603M
    111	   41.977k	  -126.60p	  -906.25p	   779.65p	   10.000m	   12.826M
    112	   41.977k	  -123.58p	  -913.72p	   790.14p	   10.000m	   12.656M
    113	   41.978k	  -122.62p	  -920.66p	   798.04p	   10.000m	   12.531M
    114	   41.978k	  -121.13p	  -918.06p	   796.93p	   10.000m	   12.548M
    115	   41.979k	  -122.06p	  -908.75p	   786.69p	   10.000m	   12.712M
    116	   41.979k	  -124.68p	  -923.03p	   798.35p	   10.000m	   12.526M
    117	   41.980k	  -120.36p	  -911.97p	   791.61p	   10.000m	   12.633M
    118	   41.980k	  -127.43p	  -934.81p	   807.38p	   10.000m	   12.386M
    119	   41.980k	  -123.73p	  -915.94p	   792.21p	   10.000m	   12.623M
    120	   41.981k	  -120.61p	  -926.72p	   806.11p	   10.000m	   12.405M
    121	   41.981k	  -119.98p	  -920.81p	   800.83p	   10.000m	   12.487M
    122	   41.982k	  -129.40p	  -916.19p	   786.79p	   10.000m	   12.710M
    123	   41.982k	  -127.12p	  -928.34p	   801.23p	   10.000m	   12.481M
    124	   41.983k	  -120.98p	  -935.94p	   814.95p	   10.000m	   12.271M
    125	   41.983k	  -123.60p	  -910.16p	   786.55p	   10.000m	   12.714M
    126	   41.983k	  -123.26p	  -921.47p	   798.21p	   10.000m	   12.528M
    127	   41.984k	  -123.05p	  -920.81p	   797.76p	   10.000m	   12.535M
    128	   41.984k	  -123.22p	  -918.66p	   795.44p	   10.000m	   12.572M
    129	   41.985k	  -129.84p	  -922.44p	   792.59p	   10.000m	   12.617M
    130	   41.985k	  -129.72p	  -929.19p	   799.47p	   10.000m	   12.508M
    131	   41.986k	  -124.70p	  -919.12p	   794.42p	   10.000m	   12.588M
    132	   41.986k	  -125.98p	  -901.91p	   775.93p	   10.000m	   12.888M
    133	   41.987k	  -128.69p	  -934.50p	   805.81p	   10.000m	   12.410M
    134	   41.987k	  -122.06p	  -910.41p	   788.35p	   10.000m	   12.685M
    135	   41.987k	  -121.81p	  -914.06p	   792.26p	   10.000m	   12.622M
    136	   41.988k	  -121.53p	  -914.72p	   793.19p	   10.000m	   12.607M
    137	   41.988k	  -121.00p	  -932.41p	   811.41p	   10.000m	   12.324M
    138	   41.989k	  -128.58p	  -911.50p	   782.92p	   10.000m	   12.773M
    139	   41.989k	  -120.77p	  -913.53p	   792.76p	   10.000m	   12.614M
    140	   41.990k	  -118.47p	  -913.41p	   794.94p	   10.000m	   12.580M
    141	   41.990k	  -117.95p	  -908.69p	   790.74p	   10.000m	   12.646M
    142	   41.990k	  -123.46p	  -920.78p	   797.32p	   10.000m	   12.542M
    143	   41.991k	  -117.79p	  -904.91p	   787.12p	   10.000m	   12.705M
    144	   41.991k	  -123.39p	  -917.72p	   794.33p	   10.000m	   12.589M
    145	   41.992k	  -134.98p	  -904.94p	   769.96p	   10.000m	   12.988M
    146	   41.992k	  -124.64p	  -910.44p	   785.80p	   10.000m	   12.726M
    147	   41.993k	  -124.26p	  -919.22p	   794.95p	   10.000m	   12.579M
    148	   41.993k	  -125.77p	  -913.94p	   788.17p	   10.000m	   12.688M
    149	   41.994k	  -121.25p	  -914.00p	   792.75p	   10.000m	   12.614M
    150	   41.994k	  -130.04p	  -933.28p	   803.24p	   10.000m	   12.450M
    151	   41.994k	  -127.04p	  -907.81p	   780.77p	   10.000m	   12.808M
    152	   41.995k	  -126.72p	  -908.84p	   782.12p	   10.000m	   12.786M
    153	   41.995k	  -128.20p	  -910.56p	   782.37p	   10.000m	   12.782M
    154	   41.996k	  -124.14p	  -914.19p	   790.05p	   10.000m	   12.657M
    155	   41.996k	  -126.77p	  -927.06p	   800.29p	   10.000m	   12.495M
    156	   41.997k	  -120.89p	  -913.34p	   792.45p	   10.000m	   12.619M
    157	   41.997k	  -124.31p	  -908.91p	   784.59p	   10.000m	   12.745M
    158	   41.997k	  -122.14p	  -951.37p	   829.24p	   10.000m	   12.059M
    159	   41.998k	  -125.76p	  -915.84p	   790.08p	   10.000m	   12.657M
    160	   41.998k	  -118.59p	  -929.09p	   810.51p	   10.000m	   12.338M
    161	   41.999k	  -120.37p	  -906.25p	   785.88p	   10.000m	   12.725M
    162	   41.999k	  -123.15p	  -905.91p	   782.76p	   10.000m	   12.775M
    163	   42.000k	  -127.39p	  -908.47p	   781.07p	   10.000m	   12.803M
    164	   42.000k	  -129.16p	  -929.28p	   800.12p	   10.000m	   12.498M
    165	   42.001k	  -123.10p	  -909.75p	   786.65p	   10.000m	   12.712M
    166	   42.001k	  -123.28p	  -922.12p	   798.85p	   10.000m	   12.518M
    167	   42.001k	  -122.44p	  -915.25p	   792.81p	   10.000m	   12.613M
    168	   42.002k	  -120.82p	  -908.28p	   787.46p	   10.000m	   12.699M
    169	   42.002k	  -120.74p	  -922.97p	   802.23p	   10.000m	   12.465M
    170	   42.003k	  -118.47p	  -908.47p	   790.00p	   10.000m	   12.658M
    171	   42.003k	  -122.87p	  -909.81p	   786.94p	   10.000m	   12.707M
    172	   42.004k	  -124.96p	  -908.78p	   783.82p	   10.000m	   12.758M
    173	   42.004k	  -122.89p	  -930.75p	   807.86p	   10.000m	   12.378M
    174	   42.004k	  -126.19p	  -908.09p	   781.91p	   10.000m	   12.789M
    175	   42.005k	  -125.02p	  -917.28p	   792.26p	   10.000m	   12.622M
    176	   42.005k	  -125.10p	  -914.88p	   789.77p	   10.000m	   12.662M
    177	   42.006k	  -121.12p	  -912.75p	   791.63p	   10.000m	   12.632M
    178	   42.006k	  -132.59p	  -930.75p	   798.16p	   10.000m	   12.529M
    179	   42.007k	  -122.85p	  -910.03p	   787.18p	   10.000m	   12.704M
    180	   42.007k	  -118.70p	  -908.41p	   789.70p	   10.000m	   12.663M
    181	   42.008k	  -118.58p	  -910.37p	   791.80p	   10.000m	   12.629M
    182	   42.008k	  -120.96p	  -905.44p	   784.48p	   10.000m	   12.747M
    183	   42.008k	  -126.09p	  -904.22p	   778.13p	   10.000m	   12.851M
    184	   42.009k	  -126.15p	  -896.22p	   770.07p	   10.000m	   12.986M
    185	   42.009k	  -126.60p	  -917.44p	   790.84p	   10.000m	   12.645M
    186	   42.010k	  -122.59p	  -916.16p	   793.56p	   10.000m	   12.601M
    187	   42.010k	  -122.86p	  -902.44p	   779.58p	   10.000m	   12.827M
    188	   42.011k	  -125.69p	  -912.75p	   787.06p	   10.000m	   12.705M
    189	   42.011k	  -121.89p	  -918.28p	   796.39p	   10.000m	   12.557M
    190	   42.011k	  -125.61p	  -908.69p	   783.08p	   10.000m	   12.770M
    191	   42.012k	  -119.62p	  -895.63p	   776.01p	   10.000m	   12.886M
    192	   42.012k	  -129.28p	  -911.81p	   782.53p	   10.000m	   12.779M
    193	   42.013k	  -120.50p	  -893.25p	   772.75p	   10.000m	   12.941M
    194	   42.013k	  -121.89p	  -903.56p	   781.67p	   10.000m	   12.793M
    195	   42.014k	  -121.24p	  -909.12p	   787.89p	   10.000m	   12.692M
    196	   42.014k	  -125.69p	  -908.25p	   782.56p	   10.000m	   12.779M
    197	   42.015k	  -122.50p	  -899.03p	   776.53p	   10.000m	   12.878M
    198	   42.015k	  -124.45p	  -906.50p	   782.05p	   10.000m	   12.787M
    199	   42.015k	  -130.34p	  -901.69p	   771.35p	   10.000m	   12.964M
    200	   42.016k	  -124.79p	  -904.44p	   779.65p	   10.000m	   12.826M
    201	   42.016k	  -124.95p	  -927.53p	   802.59p	   10.000m	   12.460M
    202	   42.017k	  -121.19p	  -901.13p	   779.94p	   10.000m	   12.822M
    203	   42.017k	  -122.77p	  -905.00p	   782.23p	   10.000m	   12.784M
    204	   42.018k	  -122.16p	  -891.13p	   768.97p	   10.000m	   13.004M
    205	   42.018k	  -120.52p	  -889.56p	   769.04p	   10.000m	   13.003M
    206	   42.018k	  -127.67p	  -899.44p	   771.77p	   10.000m	   12.957M
    207	   42.019k	  -131.37p	  -899.72p	   768.35p	   10.000m	   13.015M
    208	   42.019k	  -127.94p	  -914.59p	   786.65p	   10.000m	   12.712M
    209	   42.020k	  -123.54p	  -894.06p	   770.53p	   10.000m	   12.978M
    210	   42.020k	  -126.65p	  -906.31p	   779.66p	   10.000m	   12.826M
    211	   42.021k	  -117.82p	  -887.84p	   770.02p	   10.000m	   12.987M
    212	   42.021k	  -127.93p	  -903.31p	   775.38p	   10.000m	   12.897M
    213	   42.022k	  -130.09p	  -893.63p	   763.54p	   10.000m	   13.097M
    214	   42.022k	  -127.14p	  -893.63p	   766.49p	   10.000m	   13.047M
    215	   42.022k	  -124.35p	  -890.34p	   765.99p	   10.000m	   13.055M
    216	   42.023k	  -129.92p	  -915.50p	   785.58p	   10.000m	   12.730M
    217	   42.023k	  -126.50p	  -905.16p	   778.65p	   10.000m	   12.843M
    218	   42.024k	  -125.60p	  -893.09p	   767.49p	   10.000m	   13.029M
    219	   42.024k	  -125.28p	  -901.50p	   776.22p	   10.000m	   12.883M
    220	   42.025k	  -125.60p	  -900.28p	   774.68p	   10.000m	   12.909M
    221	   42.025k	  -123.56p	  -910.41p	   786.85p	   10.000m	   12.709M
    222	   42.025k	  -122.83p	  -900.81p	   777.98p	   10.000m	   12.854M
    223	   42.026k	  -129.90p	  -903.31p	   773.42p	   10.000m	   12.930M
    224	   42.026k	  -124.77p	  -889.44p	   764.67p	   10.000m	   13.078M
    225	   42.027k	  -129.24p	  -890.50p	   761.26p	   10.000m	   13.136M
    226	   42.027k	  -125.66p	  -889.44p	   763.78p	   10.000m	   13.093M
    227	   42.028k	  -119.37p	  -891.13p	   771.76p	   10.000m	   12.957M
    228	   42.028k	  -128.11p	  -895.41p	   767.30p	   10.000m	   13.033M
    229	   42.029k	  -128.33p	  -903.25p	   774.92p	   10.000m	   12.904M
    230	   42.029k	  -123.96p	  -880.69p	   756.73p	   10.000m	   13.215M
    231	   42.029k	  -128.06p	  -894.19p	   766.13p	   10.000m	   13.053M
    232	   42.030k	  -137.94p	  -896.06p	   758.13p	   10.000m	   13.190M
    233	   42.030k	  -127.89p	  -897.75p	   769.86p	   10.000m	   12.989M
    234	   42.031k	  -132.47p	  -890.09p	   757.63p	   10.000m	   13.199M
    235	   42.031k	  -138.22p	  -888.91p	   750.69p	   10.000m	   13.321M
    236	   42.032k	  -129.26p	  -878.97p	   749.70p	   10.000m	   13.339M
    237	   42.032k	  -128.87p	  -874.41p	   745.54p	   10.000m	   13.413M
    238	   42.032k	  -135.31p	  -901.25p	   765.94p	   10.000m	   13.056M
    239	   42.033k	  -129.30p	  -902.34p	   773.04p	   10.000m	   12.936M
    240	   42.033k	  -137.48p	  -884.47p	   746.99p	   10.000m	   13.387M
    241	   42.034k	  -135.80p	  -891.06p	   755.26p	   10.000m	   13.240M
    242	   42.034k	  -123.14p	  -932.62p	   809.48p	   10.000m	   12.354M
    243	   42.035k	  -131.33p	  -901.50p	   770.17p	   10.000m	   12.984M
    244	   42.035k	  -128.69p	  -871.66p	   742.97p	   10.000m	   13.460M
    245	   42.036k	  -127.49p	  -883.47p	   755.98p	   10.000m	   13.228M
    246	   42.036k	  -132.44p	  -891.66p	   759.22p	   10.000m	   13.171M
    247	   42.036k	  -135.77p	  -885.31p	   749.54p	   10.000m	   13.341M
    248	   42.037k	  -127.74p	  -883.00p	   755.26p	   10.000m	   13.240M
    249	   42.037k	  -133.39p	  -889.94p	   756.55p	   10.000m	   13.218M
    250	   42.038k	  -133.46p	  -885.91p	   752.45p	   10.000m	   13.290M
    251	   42.038k	  -126.88p	  -879.56p	   752.68p	   10.000m	   13.286M
    252	   42.039k	  -128.53p	  -888.00p	   759.47p	   10.000m	   13.167M
    253	   42.039k	  -129.47p	  -903.59p	   774.13p	   10.000m	   12.918M
    254	   42.039k	  -133.80p	  -899.91p	   766.11p	   10.000m	   13.053M
    255	   42.040k	  -142.88p	  -899.25p	   756.37p	   10.000m	   13.221M
    256	   42.040k	  -134.63p	  -892.66p	   758.02p	   10.000m	   13.192M
    257	   42.041k	  -131.51p	  -895.78p	   764.27p	   10.000m	   13.084M
    258	   42.041k	  -133.57p	  -884.66p	   751.09p	   10.000m	   13.314M
    259	   42.042k	  -130.78p	  -896.37p	   765.60p	   10.000m	   13.062M
    260	   42.042k	  -135.76p	  -902.56p	   766.80p	   10.000m	   13.041M
    261	   42.043k	  -131.92p	  -906.97p	   775.05p	   10.000m	   12.902M
    262	   42.043k	  -138.64p	  -904.22p	   765.57p	   10.000m	   13.062M
    263	   42.043k	  -135.56p	  -897.19p	   761.62p	   10.000m	   13.130M
    264	   42.044k	  -135.80p	  -910.97p	   775.17p	   10.000m	   12.900M
    265	   42.044k	  -131.26p	  -906.94p	   775.67p	   10.000m	   12.892M
    266	   42.045k	  -138.43p	  -885.28p	   746.85p	   10.000m	   13.390M
    267	   42.045k	  -130.75p	  -893.53p	   762.78p	   10.000m	   13.110M
    268	   42.046k	  -132.19p	  -892.97p	   760.78p	   10.000m	   13.144M
    269	   42.046k	  -134.37p	  -907.31p	   772.95p	   10.000m	   12.938M
    270	   42.046k	  -134.15p	  -887.50p	   753.35p	   10.000m	   13.274M
    271	   42.047k	  -133.25p	  -888.63p	   755.37p	   10.000m	   13.238M
    272	   42.047k	  -131.76p	  -890.59p	   758.84p	   10.000m	   13.178M
    273	   42.048k	  -130.62p	  -885.97p	   755.35p	   10.000m	   13.239M
    274	   42.048k	  -133.32p	  -891.88p	   758.56p	   10.000m	   13.183M
    275	   42.049k	  -131.39p	  -885.84p	   754.45p	   10.000m	   13.255M
    276	   42.049k	  -136.43p	  -893.16p	   756.72p	   10.000m	   13.215M
    277	   42.050k	  -140.07p	  -906.19p	   766.12p	   10.000m	   13.053M
    278	   42.050k	  -136.09p	  -887.75p	   751.66p	   10.000m	   13.304M
    279	   42.050k	  -141.09p	  -900.94p	   759.84p	   10.000m	   13.161M
    280	   42.051k	  -133.82p	  -902.50p	   768.68p	   10.000m	   13.009M
    281	   42.051k	  -128.47p	  -934.63p	   806.16p	   10.000m	   12.404M
    282	   42.052k	  -132.72p	  -927.31p	   794.59p	   10.000m	   12.585M
    283	   42.052k	  -136.22p	  -912.50p	   776.28p	   10.000m	   12.882M
    284	   42.053k	  -131.87p	  -901.31p	   769.44p	   10.000m	   12.996M
    285	   42.053k	  -134.52p	  -915.47p	   780.95p	   10.000m	   12.805M
    286	   42.053k	  -130.60p	  -915.00p	   784.40p	   10.000m	   12.749M
    287	   42.054k	  -131.59p	  -912.38p	   780.78p	   10.000m	   12.808M
    288	   42.054k	  -129.26p	  -910.41p	   781.15p	   10.000m	   12.802M
    289	   42.055k	  -135.50p	  -913.03p	   777.53p	   10.000m	   12.861M
    290	   42.055k	  -133.80p	  -929.12p	   795.33p	   10.000m	   12.573M
    291	   42.056k	  -133.44p	  -924.31p	   790.88p	   10.000m	   12.644M
    292	   42.056k	  -132.15p	  -904.69p	   772.54p	   10.000m	   12.944M
    293	   42.057k	  -131.86p	  -923.19p	   791.33p	   10.000m	   12.637M
    294	   42.057k	  -137.03p	  -912.69p	   775.66p	   10.000m	   12.892M
    295	   42.057k	  -142.95p	  -906.91p	   763.96p	   10.000m	   13.090M
    296	   42.058k	  -143.71p	  -982.97p	   839.26p	   10.000m	   11.915M
    297	   42.058k	  -140.92p	  -924.69p	   783.77p	   10.000m	   12.759M
    298	   42.059k	  -141.28p	  -912.72p	   771.44p	   10.000m	   12.963M
    299	   42.059k	  -157.78p	  -916.16p	   758.38p	   10.000m	   13.186M
    300	   42.060k	  -137.67p	  -906.22p	   768.55p	   10.000m	   13.012M
    301	   42.060k	  -145.91p	  -939.41p	   793.49p	   10.000m	   12.603M
    302	   42.060k	  -133.31p	  -913.78p	   780.47p	   10.000m	   12.813M
    303	   42.061k	  -145.52p	  -905.53p	   760.01p	   10.000m	   13.158M
